"group" "motif_type" "counts" "total_count"
"27" "regulatory_triplets" 5 9
"27" "regulatory_triplets" 9 1
"27" "signaling_triplets" 2 225
"27" "signaling_triplets" 3 51
"27" "signaling_triplets" 4 21
"27" "signaling_triplets" 5 6
"27" "signaling_triplets" 7 1
"28" "others" 2 71
"28" "others" 3 18
"28" "others" 4 16
"28" "others" 5 5
"28" "others" 6 3
"28" "others" 7 3
"28" "others" 8 2
"28" "others" 9 1
"28" "others" 10 1
"28" "others" 12 2
"28" "others" 13 1
"28" "others" 14 2
"28" "others" 16 1
"28" "others" 19 1
"28" "others" 54 1
"28" "protein_complexes" 2 339
"28" "protein_complexes" 3 86
"28" "protein_complexes" 4 22
"28" "protein_complexes" 5 8
"28" "protein_complexes" 6 7
"28" "protein_complexes" 7 1
"28" "protein_complexes" 8 1
"28" "protein_complexes" 9 2
"28" "regulatory_triplets" 2 168
"28" "regulatory_triplets" 3 27
"28" "regulatory_triplets" 4 10
"28" "regulatory_triplets" 5 3
"28" "regulatory_triplets" 6 2
"28" "regulatory_triplets" 7 2
"28" "regulatory_triplets" 9 1
"28" "signaling_triplets" 2 227
"28" "signaling_triplets" 3 36
"28" "signaling_triplets" 4 21
"28" "signaling_triplets" 5 4
"28" "signaling_triplets" 6 5
"28" "signaling_triplets" 7 1
"28" "signaling_triplets" 8 2
"28" "signaling_triplets" 11 1
"29" "others" 2 80
"29" "others" 3 22
"29" "others" 4 6
"29" "others" 5 3
"29" "others" 6 5
"29" "others" 8 2
"29" "others" 9 2
"29" "others" 11 2
"29" "others" 14 1
"29" "others" 17 1
"29" "others" 21 2
"29" "others" 29 1
"29" "others" 30 1
"29" "others" 31 1
"29" "protein_complexes" 2 419
"29" "protein_complexes" 3 61
"29" "protein_complexes" 4 15
"29" "protein_complexes" 5 15
"29" "protein_complexes" 6 5
"29" "protein_complexes" 7 3
"29" "protein_complexes" 8 1
"29" "protein_complexes" 9 1
"29" "protein_complexes" 10 2
"29" "protein_complexes" 16 1
"29" "regulatory_triplets" 2 166
"29" "regulatory_triplets" 3 26
"29" "regulatory_triplets" 4 14
"29" "regulatory_triplets" 5 3
"29" "regulatory_triplets" 6 2
"29" "regulatory_triplets" 8 1
"29" "regulatory_triplets" 12 1
"29" "signaling_triplets" 2 207
"29" "signaling_triplets" 3 41
"29" "signaling_triplets" 4 14
"29" "signaling_triplets" 5 4
"29" "signaling_triplets" 6 3
"29" "signaling_triplets" 8 1
"29" "signaling_triplets" 10 1
"29" "signaling_triplets" 15 1
"30" "others" 2 77
"30" "others" 3 15
"30" "others" 4 12
"30" "others" 5 5
"30" "others" 6 1
"30" "others" 7 1
"30" "others" 8 1
"30" "others" 10 2
"30" "others" 11 1
"30" "others" 12 2
"30" "others" 13 1
"30" "others" 19 1
"30" "others" 26 1
"30" "protein_complexes" 2 417
"30" "protein_complexes" 3 68
"30" "protein_complexes" 4 27
"30" "protein_complexes" 5 10
"30" "protein_complexes" 6 4
"30" "protein_complexes" 7 2
"30" "protein_complexes" 8 3
"30" "regulatory_triplets" 2 198
"30" "regulatory_triplets" 3 46
"30" "regulatory_triplets" 4 9
"30" "regulatory_triplets" 5 4
"30" "regulatory_triplets" 6 1
"30" "regulatory_triplets" 9 1
"30" "regulatory_triplets" 23 1
"30" "signaling_triplets" 2 227
"30" "signaling_triplets" 3 51
"30" "signaling_triplets" 4 8
"30" "signaling_triplets" 5 7
"30" "signaling_triplets" 6 3
"30" "signaling_triplets" 7 2
"31" "others" 2 66
"31" "others" 3 18
"31" "others" 4 6
"31" "others" 5 5
"31" "others" 6 1
"31" "others" 7 1
"31" "others" 8 1
"31" "others" 9 2
"31" "others" 10 1
"31" "others" 12 1
"31" "others" 13 2
"31" "others" 15 1
"31" "others" 17 1
"31" "others" 34 1
"31" "protein_complexes" 2 405
"31" "protein_complexes" 3 76
"31" "protein_complexes" 4 24
"31" "protein_complexes" 5 9
"31" "protein_complexes" 6 4
"31" "protein_complexes" 7 4
"31" "protein_complexes" 8 1
"31" "regulatory_triplets" 2 157
"31" "regulatory_triplets" 3 26
"31" "regulatory_triplets" 4 6
"31" "regulatory_triplets" 5 4
"31" "regulatory_triplets" 7 1
"31" "signaling_triplets" 2 218
"31" "signaling_triplets" 3 36
"31" "signaling_triplets" 4 14
"31" "signaling_triplets" 5 6
"31" "signaling_triplets" 6 1
"31" "signaling_triplets" 8 2
"31" "signaling_triplets" 9 1
"31" "signaling_triplets" 22 1
"32" "others" 2 68
"32" "others" 3 14
"32" "others" 4 7
"32" "others" 5 7
"32" "others" 6 3
"32" "others" 7 2
"32" "others" 8 2
"32" "others" 9 2
"32" "others" 11 1
"32" "others" 12 2
"32" "others" 17 1
"32" "others" 21 1
"32" "others" 52 1
"32" "protein_complexes" 2 443
"32" "protein_complexes" 3 59
"32" "protein_complexes" 4 20
"32" "protein_complexes" 5 12
"32" "protein_complexes" 6 3
"32" "protein_complexes" 8 1
"32" "protein_complexes" 17 1
"32" "regulatory_triplets" 2 179
"32" "regulatory_triplets" 3 32
"32" "regulatory_triplets" 4 6
"32" "regulatory_triplets" 5 5
"32" "regulatory_triplets" 16 1
"32" "signaling_triplets" 2 223
"32" "signaling_triplets" 3 49
"32" "signaling_triplets" 4 15
"32" "signaling_triplets" 5 6
"32" "signaling_triplets" 6 2
"32" "signaling_triplets" 14 1
"33" "others" 2 83
"33" "others" 3 13
"33" "others" 4 7
"33" "others" 5 7
"33" "others" 6 1
"33" "others" 7 1
"33" "others" 8 1
"33" "others" 9 3
"33" "others" 11 1
"33" "others" 13 1
"33" "others" 14 1
"33" "others" 22 1
"33" "protein_complexes" 2 410
"33" "protein_complexes" 3 77
"33" "protein_complexes" 4 22
"33" "protein_complexes" 5 9
"33" "protein_complexes" 6 1
"33" "protein_complexes" 7 1
"33" "protein_complexes" 14 1
"33" "regulatory_triplets" 2 158
"33" "regulatory_triplets" 3 23
"33" "regulatory_triplets" 4 8
"33" "regulatory_triplets" 5 5
"33" "regulatory_triplets" 6 5
"33" "signaling_triplets" 2 203
"33" "signaling_triplets" 3 38
"33" "signaling_triplets" 4 11
"33" "signaling_triplets" 5 7
"33" "signaling_triplets" 6 1
"33" "signaling_triplets" 8 1
"33" "signaling_triplets" 9 2
"33" "signaling_triplets" 24 1
"34" "others" 2 65
"34" "others" 3 26
"34" "others" 4 7
"34" "others" 5 5
"34" "others" 6 2
"34" "others" 7 5
"34" "others" 8 2
"34" "others" 9 3
"34" "others" 12 1
"34" "others" 14 1
"34" "others" 16 1
"34" "others" 17 1
"34" "others" 30 1
"34" "protein_complexes" 2 427
"34" "protein_complexes" 3 75
"34" "protein_complexes" 4 14
"34" "protein_complexes" 5 5
"34" "protein_complexes" 6 2
"34" "protein_complexes" 8 1
"34" "protein_complexes" 9 1
"34" "protein_complexes" 10 1
"34" "protein_complexes" 19 1
"34" "regulatory_triplets" 2 181
"34" "regulatory_triplets" 3 36
"34" "regulatory_triplets" 4 12
"34" "regulatory_triplets" 5 4
"34" "regulatory_triplets" 6 1
"34" "regulatory_triplets" 7 2
"34" "regulatory_triplets" 8 3
"34" "regulatory_triplets" 18 1
"34" "signaling_triplets" 2 221
"34" "signaling_triplets" 3 51
"34" "signaling_triplets" 4 15
"34" "signaling_triplets" 5 7
"34" "signaling_triplets" 6 2
"34" "signaling_triplets" 7 1
"34" "signaling_triplets" 15 1
"35" "others" 2 73
"35" "others" 3 20
"35" "others" 4 7
"35" "others" 5 5
"35" "others" 6 6
"35" "others" 7 2
"35" "others" 8 1
"35" "others" 9 1
"35" "others" 10 1
"35" "others" 11 1
"35" "others" 12 1
"35" "others" 14 1
"35" "others" 15 1
"35" "others" 18 1
"35" "protein_complexes" 2 409
"35" "protein_complexes" 3 77
"35" "protein_complexes" 4 25
"35" "protein_complexes" 5 7
"35" "protein_complexes" 6 5
"35" "protein_complexes" 8 2
"35" "protein_complexes" 9 3
"35" "protein_complexes" 10 1
"35" "protein_complexes" 11 2
"35" "protein_complexes" 23 1
"35" "regulatory_triplets" 2 163
"35" "regulatory_triplets" 3 30
"35" "regulatory_triplets" 4 8
"35" "regulatory_triplets" 5 4
"35" "regulatory_triplets" 6 1
"35" "regulatory_triplets" 7 1
"35" "regulatory_triplets" 11 1
"35" "signaling_triplets" 2 224
"35" "signaling_triplets" 3 38
"35" "signaling_triplets" 4 21
"35" "signaling_triplets" 5 8
"35" "signaling_triplets" 6 1
"35" "signaling_triplets" 7 1
"35" "signaling_triplets" 30 1
"36" "others" 2 68
"36" "others" 3 15
"36" "others" 4 10
"36" "others" 5 7
"36" "others" 6 3
"36" "others" 7 1
"36" "others" 8 2
"36" "others" 9 2
"36" "others" 10 2
"36" "others" 11 2
"36" "others" 26 1
"36" "others" 30 1
"36" "others" 52 1
"36" "others" 53 1
"36" "protein_complexes" 2 423
"36" "protein_complexes" 3 71
"36" "protein_complexes" 4 17
"36" "protein_complexes" 5 5
"36" "protein_complexes" 6 2
"36" "protein_complexes" 10 1
"36" "protein_complexes" 11 1
"36" "regulatory_triplets" 2 198
"36" "regulatory_triplets" 3 27
"36" "regulatory_triplets" 4 6
"36" "regulatory_triplets" 5 4
"36" "regulatory_triplets" 6 1
"36" "regulatory_triplets" 7 1
"36" "regulatory_triplets" 8 1
"36" "regulatory_triplets" 10 1
"36" "signaling_triplets" 2 211
"36" "signaling_triplets" 3 48
"36" "signaling_triplets" 4 18
"36" "signaling_triplets" 5 4
"36" "signaling_triplets" 6 4
"36" "signaling_triplets" 7 1
"36" "signaling_triplets" 8 2
"37" "others" 2 68
"37" "others" 3 20
"37" "others" 4 13
"37" "others" 5 8
"37" "others" 6 1
"37" "others" 7 1
"37" "others" 9 2
"37" "others" 10 1
"37" "others" 12 1
"37" "others" 14 1
"37" "others" 15 1
"37" "others" 20 2
"37" "others" 41 1
"37" "protein_complexes" 2 422
"37" "protein_complexes" 3 62
"37" "protein_complexes" 4 23
"37" "protein_complexes" 5 8
"37" "protein_complexes" 6 3
"37" "protein_complexes" 8 1
"37" "protein_complexes" 15 1
"37" "regulatory_triplets" 2 200
"37" "regulatory_triplets" 3 26
"37" "regulatory_triplets" 4 8
"37" "regulatory_triplets" 5 5
"37" "regulatory_triplets" 6 3
"37" "regulatory_triplets" 8 1
"37" "regulatory_triplets" 24 1
"37" "signaling_triplets" 2 223
"37" "signaling_triplets" 3 49
"37" "signaling_triplets" 4 13
"37" "signaling_triplets" 5 4
"37" "signaling_triplets" 8 1
"37" "signaling_triplets" 9 1
"37" "signaling_triplets" 10 1
"37" "signaling_triplets" 20 1
"38" "others" 2 62
"38" "others" 3 15
"38" "others" 4 8
"38" "others" 5 1
"38" "others" 6 3
"38" "others" 7 4
"38" "others" 8 2
"38" "others" 9 1
"38" "others" 10 1
"38" "others" 13 1
"38" "others" 21 1
"38" "protein_complexes" 2 417
"38" "protein_complexes" 3 87
"38" "protein_complexes" 4 21
"38" "protein_complexes" 5 6
"38" "protein_complexes" 6 4
"38" "protein_complexes" 7 3
"38" "protein_complexes" 8 1
"38" "protein_complexes" 21 1
"38" "protein_complexes" 31 1
"38" "regulatory_triplets" 2 180
"38" "regulatory_triplets" 3 22
"38" "regulatory_triplets" 4 9
"38" "regulatory_triplets" 5 5
"38" "regulatory_triplets" 6 3
"38" "regulatory_triplets" 7 1
"38" "regulatory_triplets" 25 1
"38" "signaling_triplets" 2 234
"38" "signaling_triplets" 3 47
"38" "signaling_triplets" 4 16
"38" "signaling_triplets" 5 4
"38" "signaling_triplets" 6 5
"38" "signaling_triplets" 7 2
"38" "signaling_triplets" 8 1
"38" "signaling_triplets" 30 1
"39" "others" 2 58
"39" "others" 3 19
"39" "others" 4 7
"39" "others" 5 8
"39" "others" 6 7
"39" "others" 7 2
"39" "others" 10 2
"39" "others" 15 1
"39" "others" 18 1
"39" "others" 20 2
"39" "others" 25 1
"39" "protein_complexes" 2 427
"39" "protein_complexes" 3 89
"39" "protein_complexes" 4 18
"39" "protein_complexes" 5 11
"39" "protein_complexes" 6 1
"39" "protein_complexes" 7 3
"39" "protein_complexes" 8 1
"39" "regulatory_triplets" 2 163
"39" "regulatory_triplets" 3 30
"39" "regulatory_triplets" 4 6
"39" "regulatory_triplets" 5 3
"39" "regulatory_triplets" 6 2
"39" "regulatory_triplets" 7 1
"39" "regulatory_triplets" 8 1
"39" "regulatory_triplets" 9 1
"39" "regulatory_triplets" 12 1
"39" "signaling_triplets" 2 228
"39" "signaling_triplets" 3 42
"39" "signaling_triplets" 4 7
"39" "signaling_triplets" 5 4
"39" "signaling_triplets" 6 3
"39" "signaling_triplets" 7 1
"39" "signaling_triplets" 8 1
"39" "signaling_triplets" 9 1
"39" "signaling_triplets" 10 1
"40" "others" 2 83
"40" "others" 3 16
"40" "others" 4 9
"40" "others" 5 8
"40" "others" 6 1
"40" "others" 7 1
"40" "others" 8 2
"40" "others" 9 1
"40" "others" 10 2
"40" "others" 12 1
"40" "others" 13 2
"40" "others" 14 1
"40" "others" 15 1
"40" "others" 19 1
"40" "others" 27 1
"40" "others" 42 1
"40" "protein_complexes" 2 404
"40" "protein_complexes" 3 82
"40" "protein_complexes" 4 22
"40" "protein_complexes" 5 4
"40" "protein_complexes" 6 2
"40" "protein_complexes" 7 4
"40" "protein_complexes" 13 1
"40" "regulatory_triplets" 2 188
"40" "regulatory_triplets" 3 40
"40" "regulatory_triplets" 4 4
"40" "regulatory_triplets" 6 2
"40" "regulatory_triplets" 7 1
"40" "regulatory_triplets" 13 1
"40" "regulatory_triplets" 15 1
"40" "signaling_triplets" 2 244
"40" "signaling_triplets" 3 48
"40" "signaling_triplets" 4 10
"40" "signaling_triplets" 5 3
"40" "signaling_triplets" 6 3
"40" "signaling_triplets" 7 4
"40" "signaling_triplets" 9 1
"40" "signaling_triplets" 15 1
"41" "others" 2 63
"41" "others" 3 18
"41" "others" 4 6
"41" "others" 5 3
"41" "others" 6 2
"41" "others" 7 2
"41" "others" 8 3
"41" "others" 9 2
"41" "others" 12 1
"41" "others" 27 1
"41" "protein_complexes" 2 391
"41" "protein_complexes" 3 94
"41" "protein_complexes" 4 30
"41" "protein_complexes" 5 12
"41" "protein_complexes" 6 3
"41" "protein_complexes" 7 1
"41" "protein_complexes" 8 2
"41" "protein_complexes" 10 1
"41" "regulatory_triplets" 2 192
"41" "regulatory_triplets" 3 22
"41" "regulatory_triplets" 4 9
"41" "regulatory_triplets" 5 3
"41" "regulatory_triplets" 6 3
"41" "regulatory_triplets" 8 1
"41" "signaling_triplets" 2 234
"41" "signaling_triplets" 3 49
"41" "signaling_triplets" 4 16
"41" "signaling_triplets" 5 8
"41" "signaling_triplets" 6 5
"41" "signaling_triplets" 7 1
"42" "others" 2 70
"42" "others" 3 21
"42" "others" 4 8
"42" "others" 5 6
"42" "others" 6 4
"42" "others" 7 3
"42" "others" 8 3
"42" "others" 9 1
"42" "others" 10 1
"42" "others" 13 1
"42" "others" 18 1
"42" "others" 22 2
"42" "protein_complexes" 2 458
"42" "protein_complexes" 3 89
"42" "protein_complexes" 4 32
"42" "protein_complexes" 5 6
"42" "protein_complexes" 6 3
"42" "protein_complexes" 7 2
"42" "protein_complexes" 8 1
"42" "protein_complexes" 9 1
"42" "protein_complexes" 13 1
"42" "protein_complexes" 22 1
"42" "regulatory_triplets" 2 171
"42" "regulatory_triplets" 3 26
"42" "regulatory_triplets" 4 8
"42" "regulatory_triplets" 5 3
"42" "regulatory_triplets" 6 4
"42" "regulatory_triplets" 8 1
"42" "signaling_triplets" 2 256
"42" "signaling_triplets" 3 49
"42" "signaling_triplets" 4 13
"42" "signaling_triplets" 5 6
"42" "signaling_triplets" 6 2
"42" "signaling_triplets" 7 1
"42" "signaling_triplets" 8 1
"42" "signaling_triplets" 9 1
"42" "signaling_triplets" 10 1
"42" "signaling_triplets" 15 1
"42" "signaling_triplets" 21 1
"43" "others" 2 77
"43" "others" 3 25
"43" "others" 4 11
"43" "others" 5 8
"43" "others" 6 2
"43" "others" 7 2
"43" "others" 8 2
"43" "others" 9 1
"43" "others" 10 1
"43" "others" 11 1
"43" "others" 13 1
"43" "others" 15 1
"43" "others" 20 1
"43" "others" 21 1
"43" "others" 22 2
"43" "others" 25 1
"43" "others" 29 1
"43" "protein_complexes" 2 401
"43" "protein_complexes" 3 69
"43" "protein_complexes" 4 27
"43" "protein_complexes" 5 7
"43" "protein_complexes" 6 3
"43" "protein_complexes" 13 1
"43" "regulatory_triplets" 2 189
"43" "regulatory_triplets" 3 30
"43" "regulatory_triplets" 4 10
"43" "regulatory_triplets" 5 3
"43" "regulatory_triplets" 6 2
"43" "regulatory_triplets" 7 1
"43" "regulatory_triplets" 8 2
"43" "regulatory_triplets" 9 1
"43" "regulatory_triplets" 10 1
"43" "regulatory_triplets" 27 1
"43" "signaling_triplets" 2 254
"43" "signaling_triplets" 3 39
"43" "signaling_triplets" 4 14
"43" "signaling_triplets" 5 10
"43" "signaling_triplets" 6 1
"43" "signaling_triplets" 11 1
"44" "others" 2 51
"44" "others" 3 17
"44" "others" 4 11
"44" "others" 5 7
"44" "others" 6 5
"44" "others" 7 6
"44" "others" 8 3
"44" "others" 9 2
"44" "others" 10 2
"44" "others" 11 1
"44" "others" 12 1
"44" "others" 16 2
"44" "others" 20 1
"44" "others" 25 1
"44" "protein_complexes" 2 401
"44" "protein_complexes" 3 87
"44" "protein_complexes" 4 14
"44" "protein_complexes" 5 4
"44" "protein_complexes" 7 3
"44" "protein_complexes" 8 2
"44" "regulatory_triplets" 2 196
"44" "regulatory_triplets" 3 30
"44" "regulatory_triplets" 4 10
"44" "regulatory_triplets" 5 7
"44" "regulatory_triplets" 6 2
"44" "regulatory_triplets" 7 1
"44" "regulatory_triplets" 16 1
"44" "regulatory_triplets" 21 1
"44" "signaling_triplets" 2 233
"44" "signaling_triplets" 3 33
"44" "signaling_triplets" 4 18
"44" "signaling_triplets" 5 3
"44" "signaling_triplets" 6 1
"44" "signaling_triplets" 7 1
"44" "signaling_triplets" 11 1
"44" "signaling_triplets" 12 1
"45" "others" 2 70
"45" "others" 3 16
"45" "others" 4 9
"45" "others" 5 3
"45" "others" 6 1
"45" "others" 7 6
"45" "others" 8 1
"45" "others" 9 2
"45" "others" 12 1
"45" "others" 13 1
"45" "others" 14 2
"45" "others" 16 1
"45" "others" 22 1
"45" "others" 24 1
"45" "protein_complexes" 2 413
"45" "protein_complexes" 3 74
"45" "protein_complexes" 4 25
"45" "protein_complexes" 5 11
"45" "protein_complexes" 6 2
"45" "protein_complexes" 7 2
"45" "protein_complexes" 8 1
"45" "protein_complexes" 9 1
"45" "protein_complexes" 11 1
"45" "protein_complexes" 14 1
"45" "regulatory_triplets" 2 164
"45" "regulatory_triplets" 3 18
"45" "regulatory_triplets" 4 10
"45" "regulatory_triplets" 5 8
"45" "regulatory_triplets" 7 2
"45" "signaling_triplets" 2 217
"45" "signaling_triplets" 3 43
"45" "signaling_triplets" 4 11
"45" "signaling_triplets" 5 6
"45" "signaling_triplets" 6 3
"45" "signaling_triplets" 12 1
"46" "others" 2 70
"46" "others" 3 18
"46" "others" 4 10
"46" "others" 5 5
"46" "others" 6 3
"46" "others" 7 3
"46" "others" 12 1
"46" "others" 13 1
"46" "others" 14 1
"46" "others" 15 1
"46" "others" 17 1
"46" "others" 24 1
"46" "protein_complexes" 2 373
"46" "protein_complexes" 3 66
"46" "protein_complexes" 4 20
"46" "protein_complexes" 5 12
"46" "protein_complexes" 6 5
"46" "protein_complexes" 7 2
"46" "regulatory_triplets" 2 168
"46" "regulatory_triplets" 3 31
"46" "regulatory_triplets" 4 7
"46" "regulatory_triplets" 5 5
"46" "regulatory_triplets" 6 4
"46" "regulatory_triplets" 7 2
"46" "regulatory_triplets" 8 1
"46" "regulatory_triplets" 10 1
"46" "regulatory_triplets" 16 1
"46" "signaling_triplets" 2 207
"46" "signaling_triplets" 3 37
"46" "signaling_triplets" 4 12
"46" "signaling_triplets" 5 9
"46" "signaling_triplets" 6 3
"46" "signaling_triplets" 7 2
"46" "signaling_triplets" 8 3
"46" "signaling_triplets" 9 1
"46" "signaling_triplets" 10 1
"46" "signaling_triplets" 12 1
"47" "others" 2 73
"47" "others" 3 22
"47" "others" 4 8
"47" "others" 5 4
"47" "others" 6 2
"47" "others" 7 2
"47" "others" 8 3
"47" "others" 10 3
"47" "others" 11 1
"47" "others" 14 1
"47" "others" 22 1
"47" "others" 23 1
"47" "others" 29 1
"47" "protein_complexes" 2 434
"47" "protein_complexes" 3 73
"47" "protein_complexes" 4 21
"47" "protein_complexes" 5 6
"47" "protein_complexes" 6 5
"47" "protein_complexes" 7 5
"47" "protein_complexes" 8 1
"47" "regulatory_triplets" 2 179
"47" "regulatory_triplets" 3 39
"47" "regulatory_triplets" 4 4
"47" "regulatory_triplets" 5 4
"47" "regulatory_triplets" 6 3
"47" "signaling_triplets" 2 231
"47" "signaling_triplets" 3 49
"47" "signaling_triplets" 4 18
"47" "signaling_triplets" 5 6
"47" "signaling_triplets" 6 4
"47" "signaling_triplets" 7 1
"47" "signaling_triplets" 8 1
"47" "signaling_triplets" 10 1
"48" "others" 2 75
"48" "others" 3 14
"48" "others" 4 14
"48" "others" 5 4
"48" "others" 7 2
"48" "others" 8 1
"48" "others" 17 1
"48" "others" 25 1
"48" "others" 33 1
"48" "protein_complexes" 2 429
"48" "protein_complexes" 3 83
"48" "protein_complexes" 4 21
"48" "protein_complexes" 5 7
"48" "protein_complexes" 6 4
"48" "protein_complexes" 7 1
"48" "regulatory_triplets" 2 173
"48" "regulatory_triplets" 3 24
"48" "regulatory_triplets" 4 11
"48" "regulatory_triplets" 5 2
"48" "regulatory_triplets" 7 1
"48" "signaling_triplets" 2 232
"48" "signaling_triplets" 3 39
"48" "signaling_triplets" 4 11
"48" "signaling_triplets" 5 5
"48" "signaling_triplets" 6 4
"49" "others" 2 57
"49" "others" 3 23
"49" "others" 4 13
"49" "others" 5 6
"49" "others" 6 4
"49" "others" 7 2
"49" "others" 8 2
"49" "others" 10 3
"49" "others" 15 1
"49" "others" 16 2
"49" "others" 18 1
"49" "others" 20 1
"49" "protein_complexes" 2 427
"49" "protein_complexes" 3 77
"49" "protein_complexes" 4 18
"49" "protein_complexes" 5 5
"49" "protein_complexes" 6 1
"49" "protein_complexes" 7 2
"49" "protein_complexes" 8 3
"49" "protein_complexes" 9 1
"49" "protein_complexes" 24 1
"49" "regulatory_triplets" 2 174
"49" "regulatory_triplets" 3 30
"49" "regulatory_triplets" 4 3
"49" "regulatory_triplets" 5 4
"49" "regulatory_triplets" 7 1
"49" "signaling_triplets" 2 241
"49" "signaling_triplets" 3 49
"49" "signaling_triplets" 4 18
"49" "signaling_triplets" 5 1
"49" "signaling_triplets" 6 4
"49" "signaling_triplets" 8 2
"49" "signaling_triplets" 23 1
"50" "others" 2 65
"50" "others" 3 21
"50" "others" 4 4
"50" "others" 5 1
"50" "others" 6 1
"50" "others" 7 6
"50" "others" 8 3
"50" "others" 9 1
"50" "others" 10 2
"50" "others" 12 1
"50" "others" 13 2
"50" "protein_complexes" 2 422
"50" "protein_complexes" 3 84
"50" "protein_complexes" 4 26
"50" "protein_complexes" 5 4
"50" "protein_complexes" 6 2
"50" "protein_complexes" 7 4
"50" "regulatory_triplets" 2 183
"50" "regulatory_triplets" 3 37
"50" "regulatory_triplets" 4 7
"50" "regulatory_triplets" 5 7
"50" "regulatory_triplets" 7 1
"50" "signaling_triplets" 2 272
"50" "signaling_triplets" 3 46
"50" "signaling_triplets" 4 13
"50" "signaling_triplets" 5 3
"50" "signaling_triplets" 7 2
