"group" "motif_type" "counts" "total_count"
"7" "others" 7 3
"7" "others" 8 4
"7" "others" 9 3
"7" "others" 10 1
"7" "others" 14 2
"7" "others" 18 1
"7" "others" 20 1
"7" "others" 21 1
"7" "others" 28 1
"7" "protein_complexes" 2 405
"7" "protein_complexes" 3 74
"7" "protein_complexes" 4 13
"7" "protein_complexes" 5 4
"7" "protein_complexes" 6 2
"7" "protein_complexes" 7 2
"7" "regulatory_triplets" 2 186
"7" "regulatory_triplets" 3 21
"7" "regulatory_triplets" 4 8
"7" "regulatory_triplets" 5 2
"7" "regulatory_triplets" 6 1
"7" "regulatory_triplets" 8 1
"7" "signaling_triplets" 2 221
"7" "signaling_triplets" 3 45
"7" "signaling_triplets" 4 16
"7" "signaling_triplets" 5 7
"7" "signaling_triplets" 6 2
"7" "signaling_triplets" 8 1
"7" "signaling_triplets" 9 1
"8" "others" 2 64
"8" "others" 3 16
"8" "others" 4 4
"8" "others" 5 4
"8" "others" 6 4
"8" "others" 7 4
"8" "others" 8 1
"8" "others" 9 2
"8" "others" 10 2
"8" "others" 12 1
"8" "others" 19 1
"8" "others" 25 1
"8" "others" 29 1
"8" "others" 35 1
"8" "protein_complexes" 2 425
"8" "protein_complexes" 3 74
"8" "protein_complexes" 4 25
"8" "protein_complexes" 5 6
"8" "protein_complexes" 6 5
"8" "protein_complexes" 7 2
"8" "regulatory_triplets" 2 167
"8" "regulatory_triplets" 3 36
"8" "regulatory_triplets" 4 9
"8" "regulatory_triplets" 5 5
"8" "regulatory_triplets" 6 2
"8" "regulatory_triplets" 9 1
"8" "regulatory_triplets" 12 1
"8" "signaling_triplets" 2 237
"8" "signaling_triplets" 3 45
"8" "signaling_triplets" 4 15
"8" "signaling_triplets" 5 5
"8" "signaling_triplets" 6 1
"9" "others" 2 57
"9" "others" 3 16
"9" "others" 4 12
"9" "others" 5 2
"9" "others" 6 5
"9" "others" 7 3
"9" "others" 8 2
"9" "others" 9 2
"9" "others" 12 1
"9" "others" 13 2
"9" "others" 16 2
"9" "others" 29 1
"9" "others" 39 1
"9" "protein_complexes" 2 427
"9" "protein_complexes" 3 80
"9" "protein_complexes" 4 24
"9" "protein_complexes" 5 7
"9" "protein_complexes" 6 5
"9" "protein_complexes" 7 3
"9" "protein_complexes" 9 1
"9" "protein_complexes" 16 1
"9" "regulatory_triplets" 2 163
"9" "regulatory_triplets" 3 34
"9" "regulatory_triplets" 4 5
"9" "regulatory_triplets" 5 3
"9" "regulatory_triplets" 6 2
"9" "regulatory_triplets" 7 1
"9" "signaling_triplets" 2 241
"9" "signaling_triplets" 3 44
"9" "signaling_triplets" 4 14
"9" "signaling_triplets" 5 1
"9" "signaling_triplets" 6 2
"9" "signaling_triplets" 7 2
"9" "signaling_triplets" 9 1
"9" "signaling_triplets" 14 1
"10" "others" 2 56
"10" "others" 3 24
"10" "others" 4 9
"10" "others" 5 5
"10" "others" 6 6
"10" "others" 7 3
"10" "others" 8 1
"10" "others" 10 3
"10" "others" 11 2
"10" "others" 16 2
"10" "others" 29 1
"10" "protein_complexes" 2 403
"10" "protein_complexes" 3 78
"10" "protein_complexes" 4 20
"10" "protein_complexes" 5 10
"10" "protein_complexes" 6 2
"10" "protein_complexes" 7 1
"10" "protein_complexes" 8 1
"10" "protein_complexes" 10 1
"10" "protein_complexes" 13 1
"10" "regulatory_triplets" 2 154
"10" "regulatory_triplets" 3 25
"10" "regulatory_triplets" 4 12
"10" "regulatory_triplets" 5 2
"10" "regulatory_triplets" 6 2
"10" "signaling_triplets" 2 259
"10" "signaling_triplets" 3 42
"10" "signaling_triplets" 4 14
"10" "signaling_triplets" 5 6
"10" "signaling_triplets" 6 2
"10" "signaling_triplets" 7 1
"11" "others" 2 60
"11" "others" 3 12
"11" "others" 4 12
"11" "others" 5 1
"11" "others" 6 2
"11" "others" 7 4
"11" "others" 8 1
"11" "others" 10 4
"11" "others" 11 1
"11" "others" 15 1
"11" "others" 17 1
"11" "others" 20 1
"11" "protein_complexes" 2 440
"11" "protein_complexes" 3 75
"11" "protein_complexes" 4 18
"11" "protein_complexes" 5 5
"11" "protein_complexes" 6 1
"11" "protein_complexes" 8 2
"11" "protein_complexes" 9 1
"11" "protein_complexes" 11 1
"11" "regulatory_triplets" 2 180
"11" "regulatory_triplets" 3 24
"11" "regulatory_triplets" 4 14
"11" "regulatory_triplets" 5 4
"11" "regulatory_triplets" 6 1
"11" "regulatory_triplets" 7 2
"11" "regulatory_triplets" 8 1
"11" "regulatory_triplets" 9 1
"11" "regulatory_triplets" 10 1
"11" "signaling_triplets" 2 235
"11" "signaling_triplets" 3 53
"11" "signaling_triplets" 4 11
"11" "signaling_triplets" 5 6
"11" "signaling_triplets" 6 2
"11" "signaling_triplets" 7 1
"11" "signaling_triplets" 10 1
"11" "signaling_triplets" 11 1
"12" "others" 2 71
"12" "others" 3 23
"12" "others" 4 2
"12" "others" 5 4
"12" "others" 6 1
"12" "others" 7 3
"12" "others" 8 2
"12" "others" 9 5
"12" "others" 10 2
"12" "others" 11 1
"12" "others" 12 4
"12" "others" 13 1
"12" "others" 17 1
"12" "others" 20 1
"12" "others" 25 1
"12" "protein_complexes" 2 440
"12" "protein_complexes" 3 78
"12" "protein_complexes" 4 25
"12" "protein_complexes" 5 6
"12" "protein_complexes" 6 2
"12" "protein_complexes" 7 3
"12" "regulatory_triplets" 2 181
"12" "regulatory_triplets" 3 23
"12" "regulatory_triplets" 4 11
"12" "regulatory_triplets" 5 4
"12" "regulatory_triplets" 9 1
"12" "regulatory_triplets" 15 1
"12" "signaling_triplets" 2 212
"12" "signaling_triplets" 3 33
"12" "signaling_triplets" 4 16
"12" "signaling_triplets" 5 4
"12" "signaling_triplets" 6 2
"12" "signaling_triplets" 9 2
"13" "others" 2 74
"13" "others" 3 19
"13" "others" 4 5
"13" "others" 5 3
"13" "others" 6 4
"13" "others" 7 1
"13" "others" 8 1
"13" "others" 9 2
"13" "others" 10 1
"13" "others" 12 1
"13" "others" 13 1
"13" "others" 14 1
"13" "others" 27 1
"13" "protein_complexes" 2 420
"13" "protein_complexes" 3 80
"13" "protein_complexes" 4 13
"13" "protein_complexes" 5 8
"13" "protein_complexes" 6 3
"13" "protein_complexes" 8 1
"13" "protein_complexes" 9 3
"13" "regulatory_triplets" 2 169
"13" "regulatory_triplets" 3 35
"13" "regulatory_triplets" 4 3
"13" "regulatory_triplets" 6 2
"13" "regulatory_triplets" 7 1
"13" "regulatory_triplets" 8 1
"13" "signaling_triplets" 2 201
"13" "signaling_triplets" 3 33
"13" "signaling_triplets" 4 10
"13" "signaling_triplets" 5 3
"13" "signaling_triplets" 6 3
"13" "signaling_triplets" 7 2
"13" "signaling_triplets" 8 1
"13" "signaling_triplets" 15 1
"14" "others" 2 49
"14" "others" 3 15
"14" "others" 4 7
"14" "others" 5 7
"14" "others" 6 5
"14" "others" 7 1
"14" "others" 9 2
"14" "others" 10 1
"14" "others" 11 4
"14" "others" 12 3
"14" "others" 15 1
"14" "others" 21 1
"14" "others" 26 1
"14" "others" 30 1
"14" "protein_complexes" 2 404
"14" "protein_complexes" 3 70
"14" "protein_complexes" 4 20
"14" "protein_complexes" 5 10
"14" "protein_complexes" 6 1
"14" "protein_complexes" 7 1
"14" "protein_complexes" 8 3
