Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YJL090C	YJL090C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,56,17,0,0
YJL092W	YJL092W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,51,6,0,0
YJL093C	YJL093C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL095W	YJL095W	15	0.904	2	0,0,0,0,0,0,0,0,0,0,0,0,20,26,0,0
YJL096W	YJL096W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL098W	YJL098W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL099W	YJL099W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL101C	YJL101C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL102W	YJL102W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL104W	YJL104W	5	0.565	2	0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
YJL106W	YJL106W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL111W	YJL111W	9	0.571	2	0,0,0,0,0,0,0,23,0,11,0,0,0,0,0,0
YJL112W	YJL112W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL115W	YJL115W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,20,96,0,0
YJL117W	YJL117W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL122W	YJL122W	8	1.000	3	0,0,0,0,1,0,12,6,0,0,0,0,0,0,0,0
YJL124C	YJL124C	9	0.830	2	0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0
YJL128C	YJL128C	15	0.343	1	0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
YJL134W	YJL134W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL136C	YJL136C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL138C	YJL138C	12	0.920	2	0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
YJL139C	YJL139C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL142C	YJL142C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL148W	YJL148W	13	0.378	1	0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
YJL151C	YJL151C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL154C	YJL154C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL155C	YJL155C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL158C	YJL158C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL159W	YJL159W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL164C	YJL164C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL165C	YJL165C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL168C	YJL168C	15	1.000	3	0,0,0,0,0,0,0,0,0,0,0,0,12,96,2,0
YJL173C	YJL173C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL174W	YJL174W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL177W	YJL177W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL179W	YJL179W	14	0.450	1	0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
YJL183W	YJL183W	17	0.338	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YJL187C	YJL187C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,34,21,0,0
YJL191W	YJL191W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL194W	YJL194W	14	0.997	2	0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0
YJL196C	YJL196C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJL203W	YJL203W	6	1.000	1	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
YJL204C	YJL204C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR002W	YJR002W	7	1.000	2	0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0
YJR003C	YJR003C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR004C	YJR004C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR005W	YJR005W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR006W	YJR006W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR007W	YJR007W	9	0.405	2	0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0
YJR009C	YJR009C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR010C-A	YJR010C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR011C	YJR011C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR014W	YJR014W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR017C	YJR017C	15	0.437	2	0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0
YJR022W	YJR022W	6	1.000	2	0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
YJR025C	YJR025C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR032W	YJR032W	11	0.551	1	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
YJR033C	YJR033C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR042W	YJR042W	9	1.000	1	0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
YJR043C	YJR043C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,52,21,0,0
YJR044C	YJR044C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR045C	YJR045C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR046W	YJR046W	14	1.000	3	0,0,0,0,0,0,0,0,0,0,0,2,45,3,0,0
YJR048W	YJR048W	14	0.364	1	0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
YJR050W	YJR050W	6	1.000	1	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
YJR053W	YJR053W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,71,2,0,0
YJR054W	YJR054W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR057W	YJR057W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR059W	YJR059W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR060W	YJR060W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,10,59,0,0
YJR064W	YJR064W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR065C	YJR065C	13	0.747	2	0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0
YJR066W	YJR066W	11	1.000	1	0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
YJR067C	YJR067C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR068W	YJR068W	14	0.850	1	0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
YJR070C	YJR070C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR073C	YJR073C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR074W	YJR074W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR075W	YJR075W	17	0.382	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
YJR076C	YJR076C	14	1.000	3	0,0,0,0,0,0,0,0,0,0,0,4,28,9,0,0
YJR077C	YJR077C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR078W	YJR078W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR082C	YJR082C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,13,95,0,0
YJR084W	YJR084W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR091C	YJR091C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR092W	YJR092W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR093C	YJR093C	16	0.790	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
YJR094W-A	YJR094W-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR095W	YJR095W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR098C	YJR098C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR099W	YJR099W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR100C	YJR100C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR102C	YJR102C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR104C	YJR104C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR105W	YJR105W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR111C	YJR111C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR112W	YJR112W	14	0.778	1	0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
YJR115W	YJR115W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR117W	YJR117W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR119C	YJR119C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR125C	YJR125C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR127C	YJR127C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR134C	YJR134C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR135C	YJR135C	14	0.717	1	0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
YJR135W-A	YJR135W-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR137C	YJR137C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR138W	YJR138W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR139C	YJR139C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR140C	YJR140C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR144W	YJR144W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR146W	YJR146W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR147W	YJR147W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJR148W	YJR148W	15	0.358	1	0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
YJR149W	YJR149W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL004W	YKL004W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL005C	YKL005C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL006W	YKL006W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL007W	YKL007W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL009W	YKL009W	8	1.000	4	0,0,0,0,1,3,13,6,0,0,0,0,0,0,0,0
YKL012W	YKL012W	6	1.000	1	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
YKL014C	YKL014C	8	0.967	2	0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0
YKL015W	YKL015W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL016C	YKL016C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL018W	YKL018W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,11,93,0,0
YKL020C	YKL020C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL022C	YKL022C	14	0.352	2	0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
YKL025C	YKL025C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL028W	YKL028W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL029C	YKL029C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL030W	YKL030W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL032C	YKL032C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,17,87,0,0
YKL033W-A	YKL033W-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL035W	YKL035W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL037W	YKL037W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL038W	YKL038W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL040C	YKL040C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0
YKL042W	YKL042W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,0
YKL043W	YKL043W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL045W	YKL045W	15	0.997	2	0,0,0,0,0,0,0,0,0,0,0,0,29,66,0,0
YKL046C	YKL046C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL048C	YKL048C	14	1.000	3	0,0,0,0,0,0,0,0,0,0,0,3,35,11,0,0
YKL049C	YKL049C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,0
YKL052C	YKL052C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0
YKL053C-A	YKL053C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL054C	YKL054C	14	0.324	1	0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
YKL057C	YKL057C	9	1.000	1	0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
YKL059C	YKL059C	16	0.978	2	0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
YKL062W	YKL062W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL063C	YKL063C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL064W	YKL064W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL068W	YKL068W	9	1.000	1	0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
YKL069W	YKL069W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL073W	YKL073W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL074C	YKL074C	6	1.000	1	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
YKL079W	YKL079W	13	0.349	1	0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
YKL080W	YKL080W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL081W	YKL081W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL082C	YKL082C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL086W	YKL086W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL089W	YKL089W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0
YKL092C	YKL092C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL095W	YKL095W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL096W-A	YKL096W-A	14	0.697	1	0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
YKL097C	YKL097C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL101W	YKL101W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0
YKL103C	YKL103C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL104C	YKL104C	9	0.507	1	0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
YKL109W	YKL109W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL110C	YKL110C	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
YKL112W	YKL112W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL113C	YKL113C	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
YKL116C	YKL116C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL125W	YKL125W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL129C	YKL129C	13	0.879	3	0,0,0,0,0,0,0,0,0,0,0,17,8,1,0,0
YKL130C	YKL130C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL135C	YKL135C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL139W	YKL139W	9	0.407	2	0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0
YKL144C	YKL144C	1	0.345	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL145W	YKL145W	11	0.793	3	0,0,0,0,0,0,0,0,0,15,0,0,9,5,0,0
YKL146W	YKL146W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL148C	YKL148C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL157W	YKL157W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL159C	YKL159C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL160W	YKL160W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL161C	YKL161C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL164C	YKL164C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL166C	YKL166C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL168C	YKL168C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL171W	YKL171W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL172W	YKL172W	8	1.000	2	0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0
YKL173W	YKL173W	6	1.000	1	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
YKL175W	YKL175W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL179C	YKL179C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL180W	YKL180W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL186C	YKL186C	9	0.997	1	0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
YKL187C	YKL187C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL188C	YKL188C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL190W	YKL190W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL193C	YKL193C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL195W	YKL195W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL196C	YKL196C	3	1.000	3	7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL203C	YKL203C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL205W	YKL205W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL206C	YKL206C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL210W	YKL210W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL212W	YKL212W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL213C	YKL213C	11	0.460	1	0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
YKL214C	YKL214C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR001C	YKR001C	10	0.415	1	0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
YKR002W	YKR002W	16	0.715	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
YKR006C	YKR006C	3	0.566	1	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR007W	YKR007W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR008W	YKR008W	15	0.805	2	0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0
YKR010C	YKR010C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR011C	YKR011C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR013W	YKR013W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR014C	YKR014C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR015C	YKR015C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR020W	YKR020W	3	0.874	1	0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR022C	YKR022C	6	0.978	1	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
YKR024C	YKR024C	8	0.501	1	0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
YKR026C	YKR026C	12	0.606	1	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
YKR027W	YKR027W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR028W	YKR028W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR029C	YKR029C	15	0.906	2	0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0
YKR030W	YKR030W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR035W-A	YKR035W-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR036C	YKR036C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR038C	YKR038C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR042W	YKR042W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR046C	YKR046C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR048C	YKR048C	14	1.000	3	0,0,0,0,0,0,0,0,0,0,0,1,27,9,0,0
YKR053C	YKR053C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR054C	YKR054C	14	0.759	3	0,0,0,0,0,0,0,1,0,0,0,0,30,1,0,0
YKR057W	YKR057W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR059W	YKR059W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR060W	YKR060W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR061W	YKR061W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR062W	YKR062W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR065C	YKR065C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR068C	YKR068C	3	0.597	1	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR072C	YKR072C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR077W	YKR077W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR081C	YKR081C	8	1.000	4	0,0,0,0,1,3,13,6,0,0,0,0,0,0,0,0
YKR082W	YKR082W	9	1.000	1	0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
YKR083C	YKR083C	14	0.702	2	0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0
YKR086W	YKR086W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR090W	YKR090W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR091W	YKR091W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR092C	YKR092C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR093W	YKR093W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR094C	YKR094C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR095W	YKR095W	9	0.652	1	0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
YKR096W	YKR096W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR099W	YKR099W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL001W	YLL001W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL002W	YLL002W	15	0.851	2	0,0,0,0,0,0,0,0,0,0,0,0,13,55,0,0
YLL003W	YLL003W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL004W	YLL004W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,48,25,0,0
YLL005C	YLL005C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL006W	YLL006W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL007C	YLL007C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL008W	YLL008W	8	1.000	4	0,0,0,0,1,5,13,6,0,0,0,0,0,0,0,0
YLL009C	YLL009C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL010C	YLL010C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL011W	YLL011W	7	0.617	2	0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0
YLL013C	YLL013C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
