Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YDR484W	YDR484W	3	1.000	4	8,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0
YDR485C	YDR485C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0
YDR489W	YDR489W	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
YDR490C	YDR490C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR496C	YDR496C	8	1.000	3	0,0,0,0,1,0,13,7,0,0,0,0,0,0,0,0
YDR497C	YDR497C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR498C	YDR498C	3	0.663	1	0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR501W	YDR501W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR507C	YDR507C	14	0.789	2	0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0
YDR508C	YDR508C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR510W	YDR510W	15	1.000	3	0,0,0,0,0,0,0,0,0,0,0,0,36,60,1,0
YDR520C	YDR520C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR522C	YDR522C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR525W-A	YDR525W-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR528W	YDR528W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL002C	YEL002C	17	0.663	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
YEL003W	YEL003W	14	0.773	3	0,0,0,0,0,0,0,0,0,0,0,2,31,1,0,0
YEL007W	YEL007W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL009C	YEL009C	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
YEL013W	YEL013W	3	0.463	1	0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL015W	YEL015W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL018W	YEL018W	15	0.610	2	0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0
YEL019C	YEL019C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL026W	YEL026W	8	0.580	1	0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
YEL032W	YEL032W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,72,15,0,0
YEL037C	YEL037C	11	0.614	3	0,0,0,0,0,0,0,0,0,12,0,0,6,2,0,0
YEL038W	YEL038W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL051W	YEL051W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL052W	YEL052W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL055C	YEL055C	9	0.752	1	0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
YEL059C-A	YEL059C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEL061C	YEL061C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,66,3,0,0
YEL062W	YEL062W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER003C	YER003C	7	0.603	2	0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0
