oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	go_MF_count	go_MF_intersect_abc
1	YBL023C	YAR007C	YDL056W	tu	tu	1	DNA binding
2	YBL023C	YAR007C	YLR103C	p	p	1	DNA binding
3	YBR082C	YBL084C	YDL008W	p	p	1	transferase activity
4	YBR136W	YBL088C	YDL101C	kd	kd	2	kinase activity; transferase activity
5	YBR136W	YBL088C	YHR030C	kd	kd	2	kinase activity; transferase activity
6	YBR136W	YBL088C	YPL153C	kd	kd	2	kinase activity; transferase activity
7	YBR136W	YBL088C	YPL153C	kd	ku	2	kinase activity; transferase activity
8	YBR136W	YBL088C	YPL153C	ku	kd	2	kinase activity; transferase activity
9	YBR136W	YBL088C	YPL153C	ku	ku	2	kinase activity; transferase activity
10	YBR136W	YBL088C	YPL153C	p	kd	2	kinase activity; transferase activity
11	YBR136W	YBL088C	YPL153C	p	ku	2	kinase activity; transferase activity
12	YBR215W	YBR009C	YBL008W	p	p	1	DNA binding
13	YBR215W	YBR009C	YBL008W	p	tu	1	DNA binding
14	YBR215W	YBR009C	YOR038C	p	tu	1	DNA binding
15	YBR215W	YBR010W	YBL008W	p	p	1	DNA binding
16	YBR215W	YBR010W	YBL008W	p	tu	1	DNA binding
17	YBR215W	YBR010W	YOR038C	p	p	1	DNA binding
18	YBR215W	YBR010W	YOR038C	p	tu	1	DNA binding
19	YBR274W	YAL038W	YPL203W	kd	ku	1	transferase activity
20	YBR274W	YAL038W	YPL203W	kd	p	1	transferase activity
21	YBR274W	YAL038W	YPL203W	ku	ku	1	transferase activity
22	YBR274W	YAL038W	YPL203W	ku	p	1	transferase activity
23	YDL008W	YBL084C	YDR118W	p	p	1	transferase activity
24	YDL008W	YBL084C	YFR036W	p	p	1	transferase activity
25	YDL008W	YBL084C	YGL240W	p	p	1	transferase activity
26	YDL008W	YBL084C	YHR166C	p	p	1	transferase activity
27	YDL008W	YBL084C	YKL022C	p	p	1	transferase activity
28	YDL008W	YBL084C	YLR102C	p	p	1	transferase activity
29	YDL008W	YBL084C	YLR127C	p	p	1	transferase activity
30	YDL008W	YBL084C	YNL172W	p	p	1	transferase activity
31	YDL008W	YBL084C	YOR249C	p	p	1	transferase activity
32	YDL043C	YBR119W	YKL074C	p	p	1	RNA binding
33	YDL087C	YBR119W	YGR013W	p	p	1	RNA binding
34	YDL087C	YBR119W	YHR086W	p	p	1	RNA binding
35	YDL140C	YAL001C	YGR047C	p	p	1	DNA binding
36	YDL140C	YBR154C	YDR404C	p	p	2	nucleotidyltransferase activity; transferase activity
37	YDL140C	YBR154C	YGL070C	p	p	2	nucleotidyltransferase activity; transferase activity
38	YDL140C	YBR154C	YHR143W-A	p	p	2	nucleotidyltransferase activity; transferase activity
39	YDL140C	YBR154C	YIL021W	p	p	2	nucleotidyltransferase activity; transferase activity
40	YDL140C	YBR154C	YJL140W	p	p	2	nucleotidyltransferase activity; transferase activity
41	YDL140C	YBR154C	YJL168C	p	p	1	transferase activity
42	YDL140C	YBR154C	YOL005C	p	p	2	nucleotidyltransferase activity; transferase activity
43	YDL140C	YBR154C	YOR151C	p	p	2	nucleotidyltransferase activity; transferase activity
44	YDL140C	YBR154C	YOR224C	p	p	2	nucleotidyltransferase activity; transferase activity
45	YDL140C	YBR154C	YPR093C	p	p	1	transferase activity
46	YDL140C	YBR154C	YPR187W	p	p	2	nucleotidyltransferase activity; transferase activity
47	YDL148C	YCR057C	YGR128C	p	p	1	RNA binding
48	YDL148C	YCR057C	YOR310C	p	p	1	RNA binding
49	YDL148C	YCR057C	YPL217C	p	p	1	RNA binding
50	YDL150W	YBR154C	YOR116C	p	p	2	nucleotidyltransferase activity; transferase activity
51	YDL150W	YBR154C	YOR207C	p	p	2	nucleotidyltransferase activity; transferase activity
52	YDL156W	YAR007C	YMR106C	p	p	1	DNA binding
53	YDL156W	YAR007C	YNL031C	p	p	1	DNA binding
54	YDL220C	YBR275C	YBL088C	ku	ku	1	DNA binding
55	YDL225W	YCR002C	YHR107C	p	p	1	ion binding
56	YDL225W	YCR002C	YJR076C	p	p	1	ion binding
57	YDL225W	YCR002C	YJR092W	p	p	1	ion binding
58	YDL225W	YCR002C	YLR314C	p	p	1	ion binding
59	YDL232W	YBL105C	YGL022W	p	kd	1	transferase activity
60	YDL232W	YBL105C	YGL022W	p	p	1	transferase activity
61	YDL232W	YBL105C	YJL002C	p	p	1	transferase activity
62	YDL232W	YBL105C	YMR149W	p	kd	1	transferase activity
63	YDL232W	YBL105C	YMR149W	p	p	1	transferase activity
64	YDR045C	YBR154C	YOR116C	p	p	2	nucleotidyltransferase activity; transferase activity
65	YDR045C	YBR154C	YOR207C	p	p	2	nucleotidyltransferase activity; transferase activity
66	YDR059C	YBR082C	YER068W	p	p	1	transferase activity
67	YDR059C	YBR082C	YER125W	p	p	1	transferase activity
68	YDR080W	YAL002W	YDL077C	p	p	1	enzyme binding
69	YDR086C	YBR171W	YLR378C	p	p	1	protein transporter activity
70	YDR086C	YBR171W	YPL094C	p	p	1	protein transporter activity
71	YDR096W	YBR198C	YML114C	p	p	1	nucleic acid binding transcription factor activity
72	YDR129C	YCR009C	YOR181W	p	p	1	cytoskeletal protein binding
73	YDR146C	YBR060C	YNL068C	tu	p	1	DNA binding
74	YDR146C	YBR112C	YOR140W	td	p	1	transcription factor activity, protein binding
75	YDR146C	YBR202W	YMR043W	tu	tu	1	DNA binding
76	YDR168W	YDL229W	YMR186W	p	p	1	unfolded protein binding
77	YDR168W	YDL229W	YPL240C	p	p	1	unfolded protein binding
78	YDR172W	YBL026W	YOL149W	p	p	1	RNA binding
79	YDR172W	YBR143C	YMR080C	p	p	1	RNA binding
80	YDR177W	YBR082C	YER125W	p	p	1	transferase activity
81	YDR207C	YBR245C	YLR095C	td	p	1	DNA binding
82	YDR207C	YBR245C	YOR304W	p	p	1	DNA binding
83	YDR207C	YDL020C	YGL033W	td	td	1	DNA binding
84	YDR207C	YDL020C	YKL015W	td	td	2	DNA binding; nucleic acid binding transcription factor activity
85	YDR207C	YDL070W	YKL112W	tu	tu	1	DNA binding
86	YDR212W	YDL143W	YJL008C	p	p	1	unfolded protein binding
87	YDR212W	YDL143W	YJL014W	p	p	1	unfolded protein binding
88	YDR225W	YBL003C	YBL002W	p	p	1	DNA binding
89	YDR225W	YBL003C	YBR009C	p	p	1	DNA binding
90	YDR225W	YBL003C	YBR010W	p	p	1	DNA binding
91	YDR225W	YBL003C	YBR089C-A	p	p	1	DNA binding
92	YDR225W	YBL003C	YDR224C	p	p	1	DNA binding
93	YDR225W	YBL003C	YER111C	tu	tu	1	DNA binding
94	YDR225W	YBL003C	YLR442C	p	p	1	DNA binding
95	YDR225W	YBL003C	YNL030W	p	p	1	DNA binding
96	YDR225W	YBL003C	YNL031C	p	p	1	DNA binding
97	YDR225W	YBL008W	YBR009C	p	p	1	DNA binding
98	YDR225W	YBL008W	YBR009C	p	td	1	DNA binding
99	YDR225W	YBL008W	YBR010W	p	p	1	DNA binding
100	YDR225W	YBL008W	YBR010W	p	td	1	DNA binding
101	YDR225W	YBL008W	YDR224C	p	td	1	DNA binding
102	YDR225W	YBL008W	YJR140C	tu	p	1	DNA binding
103	YDR225W	YBL008W	YNL030W	p	td	1	DNA binding
104	YDR225W	YBL008W	YNL031C	p	td	1	DNA binding
105	YDR225W	YBL008W	YOR038C	tu	p	1	DNA binding
106	YDR225W	YBR060C	YIL131C	tu	p	1	DNA binding
107	YDR225W	YBR060C	YML065W	p	p	1	DNA binding
108	YDR225W	YBR215W	YBL008W	tu	p	1	DNA binding
109	YDR225W	YBR215W	YJR140C	tu	p	1	DNA binding
110	YDR225W	YBR215W	YOR038C	tu	p	1	DNA binding
111	YDR235W	YBR119W	YGR013W	p	p	1	RNA binding
112	YDR235W	YBR119W	YHR086W	p	p	1	RNA binding
113	YDR240C	YBR119W	YGR013W	p	p	1	RNA binding
114	YDR240C	YBR119W	YHR086W	p	p	1	RNA binding
115	YDR240C	YBR119W	YIL061C	p	p	1	RNA binding
116	YDR240C	YBR119W	YKL074C	p	p	1	RNA binding
117	YDR240C	YDL043C	YKL074C	p	p	1	RNA binding
118	YDR240C	YDL087C	YGR013W	p	p	1	RNA binding
119	YDR240C	YDL087C	YHR086W	p	p	2	RNA binding; mRNA binding
120	YDR245W	YBL105C	YJR075W	p	kd	1	transferase activity
121	YDR308C	YBR193C	YER022W	p	p	2	transcription factor activity, protein binding; transcription factor binding
122	YDR308C	YBR193C	YGL025C	p	p	2	transcription factor activity, protein binding; transcription factor binding
123	YDR308C	YBR193C	YGR104C	p	p	1	transcription factor activity, protein binding
124	YDR308C	YBR193C	YHR058C	p	p	1	transcription factor activity, protein binding
125	YDR308C	YBR193C	YLR071C	p	p	1	transcription factor binding
126	YDR308C	YBR193C	YNL236W	p	p	1	transcription factor binding
127	YDR308C	YBR193C	YOL051W	p	p	2	transcription factor activity, protein binding; transcription factor binding
128	YDR325W	YBL097W	YFR031C	p	p	1	chromatin binding
129	YDR325W	YBL097W	YLR086W	p	p	1	chromatin binding
130	YDR325W	YBL097W	YLR272C	p	p	1	chromatin binding
131	YDR325W	YBL097W	YNL068C	tu	tu	1	chromatin binding
132	YDR325W	YCR077C	YIL131C	tu	tu	1	chromatin binding
133	YDR362C	YAL001C	YBR123C	p	p	3	DNA binding; nucleic acid binding transcription factor activity; transcription factor activity, protein binding
134	YDR362C	YAL001C	YGR047C	p	p	3	DNA binding; nucleic acid binding transcription factor activity; transcription factor activity, protein binding
135	YDR362C	YAL001C	YOR110W	p	p	3	DNA binding; nucleic acid binding transcription factor activity; transcription factor activity, protein binding
136	YDR369C	YBR275C	YBL088C	ku	ku	1	DNA binding
137	YDR369C	YBR275C	YBL088C	p	ku	1	DNA binding
138	YDR378C	YBL026W	YCR077C	p	p	1	RNA binding
139	YDR378C	YBL026W	YDL160C	p	p	1	RNA binding
140	YDR378C	YBL026W	YER112W	p	p	1	RNA binding
141	YDR378C	YBL026W	YER146W	p	p	1	RNA binding
142	YDR378C	YBL026W	YGL173C	p	p	1	RNA binding
143	YDR378C	YBL026W	YHR165C	p	p	1	RNA binding
144	YDR378C	YBL026W	YJL124C	p	p	1	RNA binding
145	YDR378C	YBL026W	YJR022W	p	p	1	RNA binding
146	YDR378C	YBL026W	YLR438C-A	p	p	1	RNA binding
147	YDR378C	YBL026W	YMR268C	p	p	1	RNA binding
148	YDR378C	YBL026W	YNL147W	p	p	1	RNA binding
149	YDR378C	YBL026W	YOL149W	p	p	1	RNA binding
150	YDR381W	YCR077C	YGL173C	p	p	1	RNA binding
151	YDR388W	YCR088W	YNL138W	p	p	1	cytoskeletal protein binding
152	YDR388W	YCR088W	YOR181W	p	p	1	cytoskeletal protein binding
153	YDR388W	YDR129C	YCR088W	p	p	1	cytoskeletal protein binding
154	YDR388W	YDR129C	YOR181W	p	p	1	cytoskeletal protein binding
155	YDR394W	YDL007W	YFR004W	p	p	1	hydrolase activity
156	YDR394W	YDL007W	YGL048C	p	p	2	ATPase activity; hydrolase activity
157	YDR394W	YDL007W	YHR027C	p	p	1	hydrolase activity
158	YDR394W	YDL007W	YKL145W	p	p	2	ATPase activity; hydrolase activity
159	YDR394W	YDL007W	YOR117W	p	p	2	ATPase activity; hydrolase activity
160	YDR404C	YBR236C	YDL140C	p	p	1	transferase activity
161	YDR427W	YDL097C	YHL030W	p	p	1	structural molecule activity
162	YDR427W	YDL097C	YHR200W	p	p	1	structural molecule activity
163	YDR427W	YDL097C	YPR108W	p	p	1	structural molecule activity
164	YDR449C	YDL148C	YGR128C	p	p	1	RNA binding
165	YDR449C	YDL148C	YOR310C	p	p	1	RNA binding
166	YDR449C	YDL148C	YPL217C	p	p	1	RNA binding
167	YDR449C	YDL213C	YPL217C	p	p	1	RNA binding
168	YDR490C	YBL105C	YKL126W	kd	kd	2	kinase activity; transferase activity
169	YDR490C	YBL105C	YKL126W	ku	kd	2	kinase activity; transferase activity
170	YDR490C	YBL105C	YKL126W	p	kd	2	kinase activity; transferase activity
171	YDR498C	YDR189W	YLR268W	p	p	1	other
172	YDR498C	YDR189W	YOR075W	p	p	1	other
173	YEL009C	YCL010C	YDR448W	p	p	1	transcription factor activity, protein binding
174	YEL009C	YDR207C	YKL015W	td	td	2	DNA binding; nucleic acid binding transcription factor activity
175	YEL009C	YDR207C	YOR290C	p	td	1	DNA binding
176	YEL019C	YDL105W	YDR288W	p	p	1	transferase activity
177	YEL019C	YDL105W	YOL034W	p	p	1	transferase activity
178	YEL019C	YDR288W	YOL034W	p	p	1	transferase activity
179	YER016W	YDR356W	YLR045C	p	p	1	structural molecule activity
180	YER025W	YBR079C	YAL035W	p	p	2	RNA binding; translation factor activity, RNA binding
181	YER025W	YBR079C	YDR429C	p	p	2	RNA binding; translation factor activity, RNA binding
182	YER025W	YBR079C	YJR007W	p	p	2	RNA binding; translation factor activity, RNA binding
183	YER025W	YBR079C	YOR361C	p	p	2	RNA binding; translation factor activity, RNA binding
184	YER025W	YBR079C	YPL237W	p	p	2	RNA binding; translation factor activity, RNA binding
185	YER025W	YBR079C	YPR041W	p	p	2	RNA binding; translation factor activity, RNA binding
186	YER027C	YDR422C	YDR477W	ku	ku	2	kinase activity; transferase activity
187	YER027C	YDR422C	YDR477W	ku	p	2	kinase activity; transferase activity
188	YER027C	YDR422C	YDR477W	p	ku	2	kinase activity; transferase activity
189	YER027C	YDR422C	YDR477W	p	p	2	kinase activity; transferase activity
190	YER027C	YDR422C	YGL115W	p	p	2	kinase activity; transferase activity
191	YER087C-B	YBR171W	YLR378C	p	p	1	protein transporter activity
192	YER087C-B	YBR171W	YPL094C	p	p	1	protein transporter activity
193	YER087C-B	YDR086C	YBR283C	p	p	2	protein transporter activity; transmembrane transporter activity
194	YER087C-B	YDR086C	YLR378C	p	p	2	protein transporter activity; transmembrane transporter activity
195	YER087C-B	YDR086C	YPL094C	p	p	1	protein transporter activity
196	YER095W	YCR066W	YAR007C	p	p	1	DNA binding
197	YER095W	YCR066W	YJL092W	p	p	1	hydrolase activity
198	YER105C	YBL079W	YDL116W	p	p	1	structural molecule activity
199	YER105C	YBL079W	YGL092W	p	p	1	structural molecule activity
200	YER105C	YBL079W	YMR129W	p	p	1	structural molecule activity
201	YER111C	YDL056W	YCR065W	td	td	2	DNA binding; nucleic acid binding transcription factor activity
202	YER111C	YDL056W	YDR451C	td	td	1	DNA binding
203	YER111C	YDL056W	YJL194W	td	td	1	DNA binding
204	YER111C	YDL056W	YML027W	td	td	1	DNA binding
205	YER111C	YDL056W	YPL127C	td	td	1	DNA binding
206	YER112W	YBL026W	YCR077C	p	p	1	RNA binding
207	YER112W	YBL026W	YDL160C	p	p	1	RNA binding
208	YER112W	YBL026W	YDR378C	p	p	1	RNA binding
209	YER112W	YBL026W	YER146W	p	p	1	RNA binding
210	YER112W	YBL026W	YGL173C	p	p	1	RNA binding
211	YER112W	YBL026W	YJL124C	p	p	1	RNA binding
212	YER112W	YBL026W	YJR022W	p	p	1	RNA binding
213	YER112W	YBL026W	YLR438C-A	p	p	1	RNA binding
214	YER112W	YBL026W	YMR268C	p	p	1	RNA binding
215	YER112W	YBL026W	YNL147W	p	p	1	RNA binding
216	YER112W	YBL026W	YOL149W	p	p	1	RNA binding
217	YER112W	YDR378C	YBL026W	p	p	1	RNA binding
218	YER112W	YDR378C	YCR077C	p	p	1	RNA binding
219	YER112W	YDR378C	YDL160C	p	p	1	RNA binding
220	YER112W	YDR378C	YER146W	p	p	1	RNA binding
221	YER112W	YDR378C	YGL173C	p	p	1	RNA binding
222	YER112W	YDR378C	YJL124C	p	p	1	RNA binding
223	YER112W	YDR378C	YJR022W	p	p	1	RNA binding
224	YER112W	YDR378C	YLR147C	p	p	1	RNA binding
225	YER112W	YDR378C	YLR438C-A	p	p	1	RNA binding
226	YER112W	YDR378C	YMR268C	p	p	1	RNA binding
227	YER112W	YDR378C	YNL147W	p	p	1	RNA binding
228	YER112W	YDR378C	YOL149W	p	p	1	RNA binding
229	YER114C	YBL085W	YBR200W	p	p	2	ion binding; lipid binding
230	YER116C	YBR082C	YDL013W	p	p	1	transferase activity
231	YER123W	YDR264C	YHR135C	kd	p	1	transferase activity
232	YER123W	YDR264C	YHR135C	ku	p	1	transferase activity
233	YER123W	YDR264C	YNL154C	kd	p	1	transferase activity
234	YER123W	YDR264C	YNL154C	ku	p	1	transferase activity
235	YER125W	YBR082C	YDR059C	p	p	1	transferase activity
236	YER125W	YCR009C	YDR388W	p	p	1	lipid binding
237	YER129W	YDR422C	YDR477W	kd	ku	2	kinase activity; transferase activity
238	YER129W	YDR422C	YDR477W	kd	p	2	kinase activity; transferase activity
239	YER129W	YDR422C	YDR477W	ku	ku	2	kinase activity; transferase activity
240	YER129W	YDR422C	YDR477W	ku	p	2	kinase activity; transferase activity
241	YER129W	YDR422C	YDR477W	p	ku	2	kinase activity; transferase activity
242	YER129W	YDR422C	YDR477W	p	p	2	kinase activity; transferase activity
243	YER129W	YDR422C	YGL115W	kd	p	2	kinase activity; transferase activity
244	YER129W	YDR422C	YGL115W	p	p	2	kinase activity; transferase activity
245	YER148W	YDR145W	YBR198C	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
246	YER148W	YDR145W	YCR042C	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
247	YER148W	YDR145W	YDR167W	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
248	YER148W	YDR145W	YDR448W	p	p	1	chromatin binding
249	YER148W	YDR145W	YEL009C	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
250	YER148W	YDR145W	YGL112C	p	p	3	chromatin binding; nucleic acid binding transcription factor activity; transcription factor binding
251	YER148W	YDR145W	YGR274C	p	p	3	chromatin binding; nucleic acid binding transcription factor activity; transcription factor binding
252	YER148W	YDR145W	YLR055C	p	p	1	transcription factor binding
253	YER148W	YDR145W	YLR399C	p	p	2	chromatin binding; transcription factor binding
254	YER148W	YDR145W	YML015C	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
255	YER148W	YDR145W	YML098W	p	p	1	nucleic acid binding transcription factor activity
256	YER148W	YDR145W	YML114C	p	p	1	nucleic acid binding transcription factor activity
257	YER148W	YDR145W	YMR005W	p	p	3	chromatin binding; nucleic acid binding transcription factor activity; transcription factor binding
258	YER148W	YDR145W	YMR227C	p	p	1	nucleic acid binding transcription factor activity
259	YER148W	YDR145W	YMR236W	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
260	YER148W	YDR145W	YPL011C	p	p	2	chromatin binding; nucleic acid binding transcription factor activity
261	YER148W	YDR145W	YPL082C	p	p	1	transcription factor binding
262	YER148W	YDR145W	YPL129W	p	p	1	nucleic acid binding transcription factor activity
263	YER148W	YDR145W	YPL248C	p	p	2	nucleic acid binding transcription factor activity; transcription factor binding
264	YER151C	YBR080C	YFR004W	p	p	1	hydrolase activity
265	YER164W	YBR245C	YBR010W	p	p	1	DNA binding
266	YER164W	YBR245C	YMR072W	p	p	1	DNA binding
267	YER171W	YDR311W	YDR460W	p	p	1	transcription factor activity, protein binding
268	YER171W	YDR311W	YLR005W	p	p	1	transcription factor activity, protein binding
269	YER171W	YDR311W	YPL122C	p	p	1	transcription factor activity, protein binding
270	YER171W	YDR311W	YPR025C	p	p	1	transcription factor activity, protein binding
271	YER171W	YDR311W	YPR056W	p	p	1	transcription factor activity, protein binding
272	YER177W	YBR049C	YBL103C	p	td	1	DNA binding
273	YER177W	YBR049C	YER111C	tu	td	1	DNA binding
274	YER177W	YBR049C	YNL216W	tu	td	1	DNA binding
275	YER177W	YDR099W	YDR373W	p	p	1	ion binding
276	YER177W	YDR099W	YPL153C	ku	ku	1	DNA binding
277	YFL009W	YDR328C	YDL132W	p	p	1	transferase activity
278	YFL009W	YDR328C	YDR054C	p	p	1	transferase activity
279	YFL009W	YDR328C	YOL133W	p	p	1	transferase activity
280	YFL029C	YBR160W	YJL106W	kd	kd	2	kinase activity; transferase activity
281	YFL029C	YBR160W	YJL106W	kd	ku	2	kinase activity; transferase activity
282	YFL029C	YDL108W	YKL139W	kd	ku	2	kinase activity; transferase activity
283	YFL033C	YDR054C	YHR205W	kd	ku	1	transferase activity
284	YFL033C	YDR054C	YHR205W	ku	ku	1	transferase activity
285	YFL033C	YDR054C	YHR205W	p	ku	1	transferase activity
286	YFL033C	YDR054C	YJR066W	kd	ku	1	transferase activity
287	YFL033C	YDR054C	YJR066W	ku	ku	1	transferase activity
288	YFL033C	YDR054C	YKL166C	ku	ku	1	transferase activity
289	YFR002W	YAR002W	YML103C	p	p	1	structural molecule activity
290	YFR002W	YAR002W	YMR047C	p	p	1	structural molecule activity
291	YFR002W	YDR192C	YDL116W	p	p	1	structural molecule activity
292	YFR002W	YDR192C	YGR119C	p	p	1	structural molecule activity
293	YFR002W	YDR192C	YKL068W	p	p	1	structural molecule activity
294	YFR002W	YDR192C	YMR047C	p	p	1	structural molecule activity
295	YFR004W	YDR394W	YDL007W	p	p	1	hydrolase activity
296	YFR004W	YDR394W	YEL037C	p	p	1	hydrolase activity
297	YFR004W	YDR394W	YGL048C	p	p	1	hydrolase activity
298	YFR004W	YDR394W	YHR027C	p	p	1	hydrolase activity
299	YFR004W	YDR394W	YKL145W	p	p	1	hydrolase activity
300	YFR004W	YDR394W	YOR117W	p	p	1	hydrolase activity
301	YFR004W	YDR394W	YOR259C	p	p	1	hydrolase activity
302	YFR036W	YBL084C	YDL008W	p	p	1	transferase activity
303	YFR036W	YBL084C	YDR118W	p	p	1	transferase activity
304	YFR036W	YBL084C	YGL240W	p	p	1	transferase activity
305	YFR036W	YBL084C	YHR166C	p	p	1	transferase activity
306	YFR036W	YBL084C	YKL022C	p	p	1	transferase activity
307	YFR036W	YBL084C	YLR102C	p	p	1	transferase activity
308	YFR036W	YBL084C	YLR127C	p	p	1	transferase activity
309	YFR036W	YBL084C	YNL172W	p	p	1	transferase activity
310	YFR036W	YBL084C	YOR249C	p	p	1	transferase activity
311	YFR036W	YDL008W	YBL084C	p	p	1	transferase activity
312	YFR036W	YDL008W	YDR118W	p	p	1	transferase activity
313	YFR036W	YDL008W	YGL240W	p	p	1	transferase activity
314	YFR036W	YDL008W	YHR166C	p	p	1	transferase activity
315	YFR036W	YDL008W	YKL022C	p	p	1	transferase activity
316	YFR036W	YDL008W	YLR102C	p	p	1	transferase activity
317	YFR036W	YDL008W	YLR127C	p	p	1	transferase activity
318	YFR036W	YDL008W	YNL172W	p	p	1	transferase activity
319	YFR036W	YDL008W	YOR249C	p	p	1	transferase activity
320	YFR037C	YCR052W	YCR020W-B	p	p	2	ATPase activity; hydrolase activity
321	YFR037C	YCR052W	YDR303C	p	p	2	ATPase activity; hydrolase activity
322	YFR037C	YCR052W	YGR056W	p	p	2	ATPase activity; hydrolase activity
323	YFR037C	YCR052W	YGR275W	p	p	2	ATPase activity; hydrolase activity
324	YFR037C	YCR052W	YIL126W	p	p	2	ATPase activity; hydrolase activity
325	YFR037C	YCR052W	YKR008W	p	p	2	ATPase activity; hydrolase activity
326	YFR037C	YCR052W	YLR033W	p	p	2	ATPase activity; hydrolase activity
327	YFR037C	YCR052W	YLR321C	p	p	2	ATPase activity; hydrolase activity
328	YFR037C	YCR052W	YLR357W	p	p	2	ATPase activity; hydrolase activity
329	YFR037C	YCR052W	YML127W	p	p	2	ATPase activity; hydrolase activity
330	YFR037C	YCR052W	YMR033W	p	p	2	ATPase activity; hydrolase activity
331	YFR037C	YCR052W	YMR091C	p	p	2	ATPase activity; hydrolase activity
332	YFR037C	YCR052W	YPR034W	p	p	2	ATPase activity; hydrolase activity
333	YGL003C	YER155C	YMR001C	ku	ku	1	enzyme regulator activity
334	YGL003C	YER155C	YMR001C	p	ku	1	enzyme regulator activity
335	YGL014W	YCR077C	YDL160C	p	p	2	RNA binding; mRNA binding
336	YGL014W	YDR378C	YDL160C	p	p	1	RNA binding
337	YGL022W	YDL232W	YJL002C	p	p	2	transferase activity; transferase activity, transferring glycosyl groups
338	YGL022W	YDL232W	YMR149W	p	p	2	transferase activity; transferase activity, transferring glycosyl groups
339	YGL022W	YDL232W	YOR085W	p	p	2	transferase activity; transferase activity, transferring glycosyl groups
340	YGL043W	YBL103C	YBR049C	tu	tu	1	DNA binding
341	YGL044C	YDR228C	YDR301W	p	p	1	RNA binding
342	YGL044C	YDR228C	YER165W	p	p	2	RNA binding; mRNA binding
343	YGL044C	YDR228C	YMR061W	p	p	1	RNA binding
344	YGL044C	YDR228C	YOR250C	p	p	1	RNA binding
345	YGL047W	YBR070C	YBR243C	p	p	1	transferase activity
346	YGL048C	YDR394W	YDL007W	p	p	2	ATPase activity; hydrolase activity
347	YGL048C	YDR394W	YEL037C	p	p	1	hydrolase activity
348	YGL048C	YDR394W	YFR004W	p	p	1	hydrolase activity
349	YGL048C	YDR394W	YHR027C	p	p	1	hydrolase activity
350	YGL048C	YDR394W	YKL145W	p	p	2	ATPase activity; hydrolase activity
351	YGL048C	YDR394W	YOR117W	p	p	2	ATPase activity; hydrolase activity
352	YGL048C	YDR394W	YOR259C	p	p	2	ATPase activity; hydrolase activity
353	YGL048C	YFR004W	YDL007W	p	p	1	hydrolase activity
354	YGL048C	YFR004W	YDR394W	p	p	1	hydrolase activity
355	YGL048C	YFR004W	YEL037C	p	p	1	hydrolase activity
356	YGL048C	YFR004W	YFR010W	p	p	1	hydrolase activity
357	YGL048C	YFR004W	YHR027C	p	p	1	hydrolase activity
358	YGL048C	YFR004W	YIL075C	p	p	1	hydrolase activity
359	YGL048C	YFR004W	YKL145W	p	p	1	hydrolase activity
360	YGL048C	YFR004W	YOR117W	p	p	1	hydrolase activity
361	YGL048C	YFR004W	YOR259C	p	p	1	hydrolase activity
362	YGL058W	YER111C	YDR224C	p	td	1	DNA binding
363	YGL061C	YDR016C	YDR201W	p	p	1	cytoskeletal protein binding
364	YGL061C	YDR016C	YDR320C-A	p	p	1	cytoskeletal protein binding
365	YGL061C	YDR016C	YGR113W	p	p	1	cytoskeletal protein binding
366	YGL061C	YDR016C	YKL052C	p	p	1	cytoskeletal protein binding
367	YGL061C	YDR016C	YKL138C-A	p	p	1	cytoskeletal protein binding
368	YGL061C	YDR016C	YKR037C	p	p	1	cytoskeletal protein binding
369	YGL061C	YDR016C	YKR083C	p	p	1	cytoskeletal protein binding
370	YGL061C	YDR201W	YDR016C	p	p	1	cytoskeletal protein binding
371	YGL061C	YDR201W	YDR320C-A	p	p	1	cytoskeletal protein binding
372	YGL061C	YDR201W	YGR113W	p	p	1	cytoskeletal protein binding
373	YGL061C	YDR201W	YKL052C	p	p	1	cytoskeletal protein binding
374	YGL061C	YDR201W	YKL138C-A	p	p	1	cytoskeletal protein binding
375	YGL061C	YDR201W	YKR037C	p	p	1	cytoskeletal protein binding
376	YGL061C	YDR201W	YKR083C	p	p	1	cytoskeletal protein binding
377	YGL066W	YDR448W	YGR252W	p	p	1	transferase activity
378	YGL066W	YDR448W	YHR099W	p	p	1	transferase activity
379	YGL071W	YDL140C	YPL075W	td	tu	1	DNA binding
380	YGL073W	YFL031W	YOR344C	td	tu	2	DNA binding; nucleic acid binding transcription factor activity
381	YGL092W	YAR002W	YMR047C	p	p	1	structural molecule activity
382	YGL092W	YDL116W	YBL079W	p	p	1	structural molecule activity
383	YGL092W	YDL116W	YDR192C	p	p	1	structural molecule activity
384	YGL092W	YDL116W	YER105C	p	p	1	structural molecule activity
385	YGL092W	YDL116W	YGL100W	p	p	1	structural molecule activity
386	YGL092W	YDL116W	YGL172W	p	p	1	structural molecule activity
387	YGL092W	YDL116W	YGR119C	p	p	1	structural molecule activity
388	YGL092W	YDL116W	YJR042W	p	p	1	structural molecule activity
389	YGL092W	YDL116W	YKL057C	p	p	1	structural molecule activity
390	YGL092W	YDL116W	YKL068W	p	p	1	structural molecule activity
