oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBL084C	YBR160W	kinase-substrate up	ku
YBL084C	YMR001C	kinase-substrate up	ku
YBL085W	YBR160W	kinase-substrate up	ku
YBL085W	YHL007C	kinase-substrate up	ku
YBL085W	YNL298W	kinase-substrate up	ku
YBL085W	YPL209C	kinase-substrate up	ku
YBL088C	YAR007C	kinase-substrate down	kd
YBL088C	YBL105C	kinase-substrate down	kd
YBL088C	YBR136W	kinase-substrate down	kd
YBL088C	YBR136W	kinase-substrate up	ku
YBL088C	YBR275C	kinase-substrate down	kd
YBL088C	YCR014C	kinase-substrate down	kd
YBL088C	YDL101C	kinase-substrate down	kd
YBL088C	YDL220C	kinase-substrate down	kd
YBL088C	YDR217C	kinase-substrate down	kd
YBL088C	YDR369C	kinase-substrate down	kd
YBL088C	YER095W	kinase-substrate down	kd
YBL088C	YGL175C	kinase-substrate down	kd
YBL088C	YHR030C	kinase-substrate down	kd
YBL088C	YJR060W	kinase-substrate down	kd
YBL088C	YLR288C	kinase-substrate down	kd
YBL088C	YLR335W	kinase-substrate down	kd
YBL088C	YMR133W	kinase-substrate down	kd
YBL088C	YNL312W	kinase-substrate down	kd
YBL088C	YOR189W	kinase-substrate down	kd
YBL088C	YPL153C	kinase-substrate down	kd
YBL088C	YPL153C	kinase-substrate up	ku
YBL097W	YMR001C	kinase-substrate up	ku
YBL097W	YPL209C	kinase-substrate up	ku
YBL104C	YNL307C	kinase-substrate up	ku
YBL105C	YBL007C	kinase-substrate down	kd
YBL105C	YBL016W	kinase-substrate down	kd
YBL105C	YBL039C	kinase-substrate down	kd
YBL105C	YBL088C	kinase-substrate up	ku
YBL105C	YBR023C	kinase-substrate down	kd
YBL105C	YBR160W	kinase-substrate up	ku
YBL105C	YDL006W	kinase-substrate down	kd
YBL105C	YDL047W	kinase-substrate down	kd
YBL105C	YDL126C	kinase-substrate down	kd
YBL105C	YDL203C	kinase-substrate down	kd
YBL105C	YDR356W	kinase-substrate down	kd
YBL105C	YDR490C	kinase-substrate down	kd
YBL105C	YDR490C	kinase-substrate up	ku
YBL105C	YEL002C	kinase-substrate down	kd
YBL105C	YEL037C	kinase-substrate down	kd
YBL105C	YER103W	kinase-substrate down	kd
YBL105C	YER111C	kinase-substrate down	kd
YBL105C	YER133W	kinase-substrate down	kd
YBL105C	YER167W	kinase-substrate down	kd
YBL105C	YGL022W	kinase-substrate down	kd
YBL105C	YGL035C	kinase-substrate down	kd
YBL105C	YGR040W	kinase-substrate down	kd
YBL105C	YGR282C	kinase-substrate down	kd
YBL105C	YHL020C	kinase-substrate down	kd
YBL105C	YHR030C	kinase-substrate down	kd
YBL105C	YHR030C	kinase-substrate up	ku
YBL105C	YIL126W	kinase-substrate down	kd
YBL105C	YJL062W	kinase-substrate down	kd
YBL105C	YJL095W	kinase-substrate down	kd
YBL105C	YJL095W	kinase-substrate up	ku
YBL105C	YJR075W	kinase-substrate down	kd
YBL105C	YKL126W	kinase-substrate down	kd
YBL105C	YLL021W	kinase-substrate down	kd
YBL105C	YLR133W	kinase-substrate down	kd
YBL105C	YLR305C	kinase-substrate down	kd
YBL105C	YLR332W	kinase-substrate down	kd
YBL105C	YLR342W	kinase-substrate down	kd
YBL105C	YLR442C	kinase-substrate down	kd
YBL105C	YML074C	kinase-substrate down	kd
YBL105C	YMR022W	kinase-substrate down	kd
YBL105C	YMR036C	kinase-substrate down	kd
YBL105C	YMR149W	kinase-substrate down	kd
YBL105C	YMR199W	kinase-substrate down	kd
YBL105C	YMR276W	kinase-substrate down	kd
YBL105C	YNL088W	kinase-substrate down	kd
YBL105C	YNL188W	kinase-substrate down	kd
YBL105C	YNL271C	kinase-substrate down	kd
YBL105C	YNL294C	kinase-substrate down	kd
YBL105C	YOL100W	kinase-substrate down	kd
YBL105C	YOL100W	kinase-substrate up	ku
YBL105C	YOR231W	kinase-substrate down	kd
YBL105C	YOR231W	kinase-substrate up	ku
YBL105C	YPL089C	kinase-substrate down	kd
YBL105C	YPL256C	kinase-substrate down	kd
YBL105C	YPR106W	kinase-substrate down	kd
YBL105C	YPR106W	kinase-substrate up	ku
YBL105C	YPR120C	kinase-substrate down	kd
YBL105C	YPR159W	kinase-substrate down	kd
YBL105C	YPR165W	kinase-substrate down	kd
YBR009C	YDR523C	kinase-substrate up	ku
YBR009C	YPL153C	kinase-substrate up	ku
YBR010W	YDR477W	kinase-substrate up	ku
YBR010W	YPL153C	kinase-substrate up	ku
YBR015C	YHR030C	kinase-substrate up	ku
YBR021W	YHR135C	kinase-substrate up	ku
YBR021W	YNL154C	kinase-substrate up	ku
YBR023C	YBL105C	kinase-substrate up	ku
YBR023C	YDR523C	kinase-substrate up	ku
YBR023C	YHR030C	kinase-substrate up	ku
YBR023C	YJL095W	kinase-substrate up	ku
YBR028C	YJL164C	kinase-substrate up	ku
YBR028C	YKL166C	kinase-substrate up	ku
YBR028C	YPL203W	kinase-substrate up	ku
YBR038W	YBR160W	kinase-substrate up	ku
YBR038W	YGR092W	kinase-substrate up	ku
YBR038W	YHR030C	kinase-substrate up	ku
YBR038W	YMR001C	kinase-substrate up	ku
YBR038W	YPR106W	kinase-substrate up	ku
YBR045C	YJL106W	kinase-substrate up	ku
YBR050C	YDR477W	kinase-substrate up	ku
YBR054W	YLR113W	kinase-substrate up	ku
YBR059C	YBL007C	kinase-substrate down	kd
YBR059C	YBL047C	kinase-substrate down	kd
YBR059C	YBR059C	kinase-substrate down	kd
YBR059C	YBR059C	kinase-substrate up	ku
YBR059C	YER177W	kinase-substrate down	kd
YBR059C	YGL213C	kinase-substrate down	kd
YBR059C	YIL095W	kinase-substrate down	kd
YBR059C	YIL095W	kinase-substrate up	ku
YBR059C	YIR006C	kinase-substrate down	kd
YBR059C	YJL084C	kinase-substrate down	kd
YBR059C	YOR329C	kinase-substrate down	kd
YBR060C	YBR160W	kinase-substrate up	ku
YBR066C	YDR477W	kinase-substrate up	ku
YBR072W	YPL203W	kinase-substrate up	ku
YBR073W	YOR351C	kinase-substrate up	ku
YBR079C	YPL031C	kinase-substrate up	ku
YBR083W	YBL016W	kinase-substrate up	ku
YBR083W	YLR113W	kinase-substrate up	ku
YBR097W	YDR054C	kinase-substrate down	kd
YBR097W	YLR240W	kinase-substrate down	kd
YBR097W	YLR360W	kinase-substrate down	kd
YBR098W	YBR160W	kinase-substrate up	ku
YBR102C	YBR160W	kinase-substrate up	ku
YBR108W	YNL307C	kinase-substrate up	ku
YBR109C	YDL028C	kinase-substrate up	ku
YBR109C	YFR014C	kinase-substrate up	ku
YBR109C	YOL016C	kinase-substrate up	ku
YBR112C	YBR136W	kinase-substrate up	ku
YBR112C	YDR477W	kinase-substrate up	ku
YBR112C	YLR113W	kinase-substrate up	ku
YBR118W	YDR477W	kinase-substrate up	ku
YBR128C	YGL180W	kinase-substrate up	ku
YBR130C	YPL031C	kinase-substrate up	ku
YBR133C	YDR507C	kinase-substrate up	ku
YBR133C	YJL187C	kinase-substrate up	ku
YBR133C	YKL101W	kinase-substrate up	ku
YBR133C	YLR113W	kinase-substrate up	ku
YBR133C	YNL298W	kinase-substrate up	ku
YBR135W	YBR160W	kinase-substrate up	ku
YBR136W	YAR007C	kinase-substrate down	kd
YBR136W	YBL088C	kinase-substrate down	kd
YBR136W	YBL088C	kinase-substrate up	ku
YBR136W	YBR112C	kinase-substrate down	kd
YBR136W	YBR274W	kinase-substrate down	kd
YBR136W	YCL061C	kinase-substrate down	kd
YBR136W	YDL101C	kinase-substrate down	kd
YBR136W	YDL201W	kinase-substrate down	kd
YBR136W	YDL220C	kinase-substrate down	kd
YBR136W	YDR076W	kinase-substrate down	kd
YBR136W	YDR097C	kinase-substrate down	kd
YBR136W	YDR113C	kinase-substrate down	kd
YBR136W	YDR138W	kinase-substrate down	kd
YBR136W	YDR217C	kinase-substrate down	kd
YBR136W	YDR225W	kinase-substrate down	kd
YBR136W	YDR499W	kinase-substrate down	kd
YBR136W	YER089C	kinase-substrate down	kd
YBR136W	YER095W	kinase-substrate down	kd
YBR136W	YER169W	kinase-substrate down	kd
YBR136W	YGL003C	kinase-substrate down	kd
YBR136W	YGL116W	kinase-substrate down	kd
YBR136W	YGL175C	kinase-substrate down	kd
YBR136W	YGL201C	kinase-substrate down	kd
YBR136W	YGR180C	kinase-substrate down	kd
YBR136W	YHR030C	kinase-substrate down	kd
YBR136W	YHR154W	kinase-substrate down	kd
YBR136W	YHR164C	kinase-substrate down	kd
YBR136W	YIL066C	kinase-substrate down	kd
YBR136W	YIL072W	kinase-substrate down	kd
YBR136W	YJR035W	kinase-substrate down	kd
YBR136W	YJR060W	kinase-substrate down	kd
YBR136W	YLR176C	kinase-substrate down	kd
YBR136W	YLR265C	kinase-substrate down	kd
YBR136W	YLR437C	kinase-substrate down	kd
YBR136W	YML058W	kinase-substrate down	kd
YBR136W	YML061C	kinase-substrate down	kd
YBR136W	YMR001C	kinase-substrate down	kd
YBR136W	YMR133W	kinase-substrate down	kd
YBR136W	YMR190C	kinase-substrate down	kd
YBR136W	YMR224C	kinase-substrate down	kd
YBR136W	YNL312W	kinase-substrate down	kd
YBR136W	YOR033C	kinase-substrate down	kd
YBR136W	YOR189W	kinase-substrate down	kd
YBR136W	YPL153C	kinase-substrate down	kd
YBR136W	YPL153C	kinase-substrate up	ku
YBR136W	YPR018W	kinase-substrate down	kd
YBR136W	YPR019W	kinase-substrate down	kd
YBR138C	YBR160W	kinase-substrate up	ku
YBR156C	YPL209C	kinase-substrate up	ku
YBR158W	YAR019C	kinase-substrate up	ku
YBR160W	YAL005C	kinase-substrate down	kd
YBR160W	YAL019W	kinase-substrate down	kd
YBR160W	YAL024C	kinase-substrate down	kd
YBR160W	YAL028W	kinase-substrate down	kd
YBR160W	YAL031C	kinase-substrate down	kd
YBR160W	YAL038W	kinase-substrate down	kd
YBR160W	YAL040C	kinase-substrate down	kd
YBR160W	YAL041W	kinase-substrate down	kd
YBR160W	YAR002W	kinase-substrate down	kd
YBR160W	YAR019C	kinase-substrate down	kd
YBR160W	YAR019C	kinase-substrate up	ku
YBR160W	YBL007C	kinase-substrate down	kd
YBR160W	YBL013W	kinase-substrate down	kd
YBR160W	YBL023C	kinase-substrate down	kd
YBR160W	YBL024W	kinase-substrate down	kd
YBR160W	YBL063W	kinase-substrate down	kd
YBR160W	YBL084C	kinase-substrate down	kd
YBR160W	YBL085W	kinase-substrate down	kd
YBR160W	YBL105C	kinase-substrate down	kd
YBR160W	YBR038W	kinase-substrate down	kd
YBR160W	YBR060C	kinase-substrate down	kd
YBR160W	YBR098W	kinase-substrate down	kd
YBR160W	YBR102C	kinase-substrate down	kd
YBR160W	YBR135W	kinase-substrate down	kd
YBR160W	YBR138C	kinase-substrate down	kd
YBR160W	YBR200W	kinase-substrate down	kd
YBR160W	YCL014W	kinase-substrate down	kd
YBR160W	YCL027W	kinase-substrate down	kd
YBR160W	YCL029C	kinase-substrate down	kd
YBR160W	YCL051W	kinase-substrate down	kd
YBR160W	YCL063W	kinase-substrate down	kd
YBR160W	YCR059C	kinase-substrate down	kd
YBR160W	YCR065W	kinase-substrate down	kd
YBR160W	YCR088W	kinase-substrate down	kd
YBR160W	YDL017W	kinase-substrate down	kd
YBR160W	YDL025C	kinase-substrate down	kd
YBR160W	YDL028C	kinase-substrate down	kd
YBR160W	YDL056W	kinase-substrate down	kd
YBR160W	YDL088C	kinase-substrate down	kd
YBR160W	YDL089W	kinase-substrate down	kd
YBR160W	YDL106C	kinase-substrate down	kd
YBR160W	YDL113C	kinase-substrate down	kd
YBR160W	YDL140C	kinase-substrate down	kd
YBR160W	YDL155W	kinase-substrate down	kd
YBR160W	YDL189W	kinase-substrate down	kd
YBR160W	YDL220C	kinase-substrate down	kd
YBR160W	YDL225W	kinase-substrate down	kd
YBR160W	YDL239C	kinase-substrate down	kd
YBR160W	YDR001C	kinase-substrate down	kd
YBR160W	YDR027C	kinase-substrate down	kd
YBR160W	YDR033W	kinase-substrate down	kd
YBR160W	YDR052C	kinase-substrate down	kd
YBR160W	YDR082W	kinase-substrate down	kd
YBR160W	YDR093W	kinase-substrate down	kd
YBR160W	YDR097C	kinase-substrate down	kd
YBR160W	YDR103W	kinase-substrate down	kd
YBR160W	YDR113C	kinase-substrate down	kd
YBR160W	YDR123C	kinase-substrate down	kd
YBR160W	YDR130C	kinase-substrate down	kd
YBR160W	YDR146C	kinase-substrate down	kd
YBR160W	YDR159W	kinase-substrate down	kd
YBR160W	YDR168W	kinase-substrate down	kd
YBR160W	YDR217C	kinase-substrate down	kd
YBR160W	YDR223W	kinase-substrate down	kd
YBR160W	YDR227W	kinase-substrate down	kd
YBR160W	YDR239C	kinase-substrate down	kd
YBR160W	YDR285W	kinase-substrate down	kd
YBR160W	YDR293C	kinase-substrate down	kd
YBR160W	YDR309C	kinase-substrate down	kd
YBR160W	YDR348C	kinase-substrate down	kd
YBR160W	YDR356W	kinase-substrate down	kd
YBR160W	YDR379W	kinase-substrate down	kd
YBR160W	YDR389W	kinase-substrate down	kd
YBR160W	YDR439W	kinase-substrate down	kd
YBR160W	YDR451C	kinase-substrate down	kd
YBR160W	YDR478W	kinase-substrate down	kd
YBR160W	YDR501W	kinase-substrate down	kd
