interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
110	STE12	SSN3	YHR084W	YPL042C	15.7756
111	FUS3	STE7	YBL016W	YDL159W	15.767271
112	GIN4	CDC28	YDR507C	YBR160W	15.75296
113	CDC27	CDC28	YBL084C	YBR160W	15.72524
114	HSC82	SWE1	YMR186W	YJL187C	15.72524
115	SWI4	SLT2	YER111C	YHR030C	15.70499
116	CDC20	TPK1	YGL116W	YJL164C	15.68144
117	CDC20	TPK2	YGL116W	YPL203W	15.68144
118	MSA1	HOG1	YOR066W	YLR113W	15.68144
119	POP2	YAK1	YNR052C	YJL141C	15.68144
120	SIR3	SLT2	YLR442C	YHR030C	15.68144
121	SWI6	RAD53	YLR182W	YPL153C	15.68144
122	CDC6	CDC28	YJL194W	YBR160W	15.67382
123	PCL5	PHO85	YHR071W	YPL031C	15.65317
124	FAR1	CDC28	YJL157C	YBR160W	15.61826
125	SIP2	SNF1	YGL208W	YDR477W	15.585361
126	REC8	CDC5	YPR007C	YMR001C	15.57302
127	LSP1	PKH2	YPL004C	YOL100W	15.5213682
128	SFL1	TPK2	YOR140W	YPL203W	15.51854
129	LSP1	PKH1	YPL004C	YDR490C	15.48256
130	SPC110	MPS1	YDR356W	YDL028C	15.47758
131	ATG13	TOR1	YPR185W	YJR066W	15.469971
132	RAD53	CDC28	YPL153C	YBR160W	15.45787
133	HCM1	CDC28	YCR065W	YBR160W	15.45337
134	BCK1	PKC1	YJL095W	YBL105C	15.35908
135	HOG1	RCK2	YLR113W	YLR248W	15.24319
136	ASE1	IPL1	YOR058C	YPL209C	15.232477
137	PBS2	SSK2	YJL128C	YNR031C	15.159546
138	BCY1	TPK3	YIL033C	YKL166C	15.088061
139	CDC12	CLA4	YHR107C	YNL298W	15.07811
140	MRC1	HOG1	YCL061C	YLR113W	15.07689
141	BEM1	CLA4	YBR200W	YNL298W	15.040579
142	RED1	MEK1	YLR263W	YOR351C	15.035491
143	PBS2	HOG1	YJL128C	YLR113W	14.897494
144	ATG17	ATG1	YLR423C	YGL180W	14.890528
145	TPK1	PKH1	YJL164C	YDR490C	14.80638
146	ATG13	TOR2	YPR185W	YKL203C	14.79153
147	ABP1	PRK1	YCR088W	YIL095W	14.767066
148	CTK1	CAK1	YKL139W	YFL029C	14.766508
149	SGS1	MEC1	YMR190C	YBR136W	14.76268
150	SHS1	PHO85	YDL225W	YPL031C	14.74303
151	HSL1	HOG1	YKL101W	YLR113W	14.58691
152	YPK1	PKH1	YKL126W	YDR490C	14.550451
153	HOF1	DBF2	YMR032W	YGR092W	14.530737
154	IME2	CAK1	YJL106W	YFL029C	14.471
155	SPC72	CDC5	YAL047C	YMR001C	14.44826
156	CDC10	CLA4	YCR002C	YNL298W	14.44745
157	TEC1	FUS3	YBR083W	YBL016W	14.41224
158	RGT1	TPK3	YKL038W	YKL166C	14.36334
159	CDH1	CDC5	YGL003C	YMR001C	14.31954
160	SGT1	CKA1	YOR057W	YIL035C	14.31954
161	PDS1	CHK1	YDR113C	YBR274W	14.3164
162	RAD53	DUN1	YPL153C	YDL101C	14.28604
163	GLN3	SNF1	YER040W	YDR477W	14.24787
164	ATG8	ATG1	YBL078C	YGL180W	14.229389
165	CDC13	MEC1	YDL220C	YBR136W	14.18732
166	SAE2	CDC28	YGL175C	YBR160W	14.18732
167	MED2	SSN3	YDL005C	YPL042C	14.17775
168	SLT2	BCK1	YHR030C	YJL095W	14.140554
169	YPK1	FPK1	YKL126W	YNR047W	14.086901
170	STE50	HOG1	YCL032W	YLR113W	14.079221
171	SIC1	IME2	YLR079W	YJL106W	14.07717
172	SLT2	MKK2	YHR030C	YPL140C	14.02986
173	BOI1	CDC28	YBL085W	YBR160W	13.99039
174	SWI6	SLT2	YLR182W	YHR030C	13.965521
175	SSK1	SSK2	YLR006C	YNR031C	13.860376
176	TPK2	PKH1	YPL203W	YDR490C	13.82086
177	GAL83	SAK1	YER027C	YER129W	13.81028
178	GBP2	SKY1	YCL011C	YMR216C	13.81028
179	TOS4	CDC28	YLR183C	YBR160W	13.74708
180	CDC13	CDC28	YDL220C	YBR160W	13.702031
181	IME1	IME2	YJR094C	YJL106W	13.6945
182	SPC42	CDC28	YKL042W	YBR160W	13.67879
183	KIN28	CAK1	YDL108W	YFL029C	13.66815
184	STE5	CDC28	YDR103W	YBR160W	13.653
185	SKN7	YPD1	YHR206W	YDL235C	13.63168
186	SPT5	SGV1	YML010W	YPR161C	13.62435
187	CDC19	MCK1	YAL038W	YNL307C	13.61485
188	TPK3	PKH1	YKL166C	YDR490C	13.5732
189	CLB1	CDC28	YGR108W	YBR160W	13.48967
190	MOB2	CBK1	YFL034C-B	YNL161W	13.470831
191	HOP1	MEK1	YIL072W	YOR351C	13.43612
192	CDC23	CDC28	YHR166C	YBR160W	13.42997
193	CLN1	CDC28	YMR199W	YBR160W	13.4191251
194	KIP2	MCK1	YPL155C	YNL307C	13.40846
195	MAD3	IPL1	YJL013C	YPL209C	13.40846
196	MED4	KIN28	YOR174W	YDL108W	13.40846
