oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YAL016W	YMR273C	protein-protein	p
YAL016W	YNL127W	protein-protein	p
YAL016W	YOR014W	protein-protein	p
YAL016W	YPL152W	protein-protein	p
YAL017W	YER177W	protein-protein	p
YAL017W	YFR024C-A	protein-protein	p
YAL017W	YGR252W	protein-protein	p
YAL017W	YPR160W	protein-protein	p
YAL019W	YAR007C	protein-protein	p
YAL019W	YBR160W	protein-protein	p
YAL019W	YHR164C	protein-protein	p
YAL019W	YLR027C	protein-protein	p
YAL019W	YOR033C	protein-protein	p
YAL020C	YBL071W-A	protein-protein	p
YAL020C	YKR048C	protein-protein	p
YAL021C	YBR034C	protein-protein	p
YAL021C	YCR093W	protein-protein	p
YAL021C	YDL149W	protein-protein	p
YAL021C	YDL165W	protein-protein	p
YAL021C	YDR252W	protein-protein	p
YAL021C	YDR443C	protein-protein	p
YAL021C	YER068W	protein-protein	p
YAL021C	YER165W	protein-protein	p
YAL021C	YGL178W	protein-protein	p
YAL021C	YGR092W	protein-protein	p
YAL021C	YGR134W	protein-protein	p
YAL021C	YIL038C	protein-protein	p
YAL021C	YNL025C	protein-protein	p
YAL021C	YNL288W	protein-protein	p
YAL021C	YNR052C	protein-protein	p
YAL021C	YPL042C	protein-protein	p
YAL021C	YPR072W	protein-protein	p
YAL023C	YCR043C	protein-protein	p
YAL023C	YDL095W	protein-protein	p
YAL023C	YGL200C	protein-protein	p
YAL024C	YBL097W	protein-protein	p
YAL024C	YBR160W	protein-protein	p
YAL024C	YFR028C	protein-protein	p
YAL024C	YGR238C	protein-protein	p
YAL024C	YHR158C	protein-protein	p
YAL024C	YNL098C	protein-protein	p
YAL024C	YOR233W	protein-protein	p
YAL024C	YPR119W	protein-protein	p
YAL024C	YPR140W	protein-protein	p
YAL025C	YGR103W	protein-protein	p
YAL025C	YHR066W	protein-protein	p
YAL026C	YCR094W	protein-protein	p
YAL026C	YDL192W	protein-protein	p
YAL026C	YEL022W	protein-protein	p
YAL026C	YML072C	protein-protein	p
YAL026C	YNL271C	protein-protein	p
YAL026C	YNL321W	protein-protein	p
YAL026C	YNL323W	protein-protein	p
YAL027W	YML032C	protein-protein	p
YAL027W	YML095C	protein-protein	p
YAL027W	YOL090W	protein-protein	p
YAL027W	YPL022W	protein-protein	p
YAL028W	YBR160W	protein-protein	p
YAL029C	YBR109C	protein-protein	p
YAL029C	YBR119W	protein-protein	p
YAL029C	YBR130C	protein-protein	p
YAL029C	YFL039C	protein-protein	p
YAL029C	YKL130C	protein-protein	p
YAL029C	YOR035C	protein-protein	p
YAL030W	YAL014C	protein-protein	p
YAL030W	YBL050W	protein-protein	p
YAL030W	YDR468C	protein-protein	p
YAL030W	YER143W	protein-protein	p
YAL030W	YGR009C	protein-protein	p
YAL030W	YGR142W	protein-protein	p
YAL030W	YJL036W	protein-protein	p
YAL030W	YJL204C	protein-protein	p
YAL030W	YLL039C	protein-protein	p
YAL030W	YMR183C	protein-protein	p
YAL030W	YNR049C	protein-protein	p
YAL030W	YPL232W	protein-protein	p
YAL031C	YBR160W	protein-protein	p
YAL031C	YCL027W	protein-protein	p
YAL031C	YER133W	protein-protein	p
YAL031C	YNL317W	protein-protein	p
YAL032C	YDL043C	protein-protein	p
YAL032C	YDL209C	protein-protein	p
YAL032C	YDR416W	protein-protein	p
YAL032C	YDR482C	protein-protein	p
YAL032C	YDR510W	protein-protein	p
YAL032C	YER013W	protein-protein	p
YAL032C	YGL120C	protein-protein	p
YAL032C	YJL203W	protein-protein	p
YAL032C	YLL036C	protein-protein	p
YAL032C	YLR117C	protein-protein	p
YAL032C	YLR424W	protein-protein	p
YAL032C	YML049C	protein-protein	p
YAL032C	YMR213W	protein-protein	p
YAL032C	YMR288W	protein-protein	p
YAL032C	YPL151C	protein-protein	p
YAL032C	YPL213W	protein-protein	p
YAL033W	NME1	protein-protein	p
YAL033W	YBL018C	protein-protein	p
YAL033W	YBR167C	protein-protein	p
YAL033W	YBR257W	protein-protein	p
YAL033W	YGR030C	protein-protein	p
YAL033W	YHR062C	protein-protein	p
YAL033W	YIR015W	protein-protein	p
YAL033W	YLR145W	protein-protein	p
YAL033W	YNL221C	protein-protein	p
YAL033W	YNL282W	protein-protein	p
YAL034C	YER110C	protein-protein	p
YAL034W-A	YBR211C	protein-protein	p
YAL034W-A	YCR086W	protein-protein	p
YAL034W-A	YDR254W	protein-protein	p
YAL034W-A	YDR318W	protein-protein	p
YAL034W-A	YER018C	protein-protein	p
YAL034W-A	YGL093W	protein-protein	p
YAL034W-A	YGR179C	protein-protein	p
YAL034W-A	YIL144W	protein-protein	p
YAL034W-A	YIR010W	protein-protein	p
YAL034W-A	YJR112W	protein-protein	p
YAL034W-A	YKL049C	protein-protein	p
YAL034W-A	YKL089W	protein-protein	p
YAL034W-A	YMR117C	protein-protein	p
YAL034W-A	YOL069W	protein-protein	p
YAL034W-A	YPL018W	protein-protein	p
YAL034W-A	YPL233W	protein-protein	p
YAL034W-A	YPR046W	protein-protein	p
YAL035W	YBR079C	protein-protein	p
YAL035W	YDL220C	protein-protein	p
YAL035W	YDR496C	protein-protein	p
YAL035W	YER025W	protein-protein	p
YAL035W	YER036C	protein-protein	p
YAL035W	YMR260C	protein-protein	p
YAL035W	YMR309C	protein-protein	p
YAL035W	YOR361C	protein-protein	p
YAL036C	YAL005C	protein-protein	p
YAL036C	YDR152W	protein-protein	p
YAL036C	YGR250C	protein-protein	p
YAL036C	YOR091W	protein-protein	p
YAL038W	YDR510W	protein-protein	p
YAL038W	YJL164C	protein-protein	p
YAL038W	YNL307C	protein-protein	p
YAL038W	YPL203W	protein-protein	p
YAL040C	YBR160W	protein-protein	p
YAL040C	YJL157C	protein-protein	p
YAL040C	YNL064C	protein-protein	p
YAL041W	YBL085W	protein-protein	p
YAL041W	YBR200W	protein-protein	p
YAL041W	YDR103W	protein-protein	p
YAL041W	YDR379W	protein-protein	p
YAL041W	YER114C	protein-protein	p
YAL041W	YER118C	protein-protein	p
YAL041W	YGR152C	protein-protein	p
YAL041W	YHL007C	protein-protein	p
YAL041W	YJL157C	protein-protein	p
YAL041W	YLR229C	protein-protein	p
YAL041W	YNL298W	protein-protein	p
YAL041W	YOR212W	protein-protein	p
YAL042W	YML067C	protein-protein	p
YAL042W	YML130C	protein-protein	p
YAL043C	YDR195W	protein-protein	p
YAL043C	YDR228C	protein-protein	p
YAL043C	YDR301W	protein-protein	p
YAL043C	YER133W	protein-protein	p
YAL043C	YGR156W	protein-protein	p
YAL043C	YJR093C	protein-protein	p
YAL043C	YKL018W	protein-protein	p
YAL043C	YKL059C	protein-protein	p
YAL043C	YKR002W	protein-protein	p
YAL043C	YLR115W	protein-protein	p
YAL043C	YLR277C	protein-protein	p
YAL043C	YMR039C	protein-protein	p
YAL043C	YMR061W	protein-protein	p
YAL043C	YNL222W	protein-protein	p
YAL043C	YNL317W	protein-protein	p
YAL043C	YOR179C	protein-protein	p
YAL043C	YOR250C	protein-protein	p
YAL043C	YPL008W	protein-protein	p
YAL043C	YPR107C	protein-protein	p
YAL047C	YDL028C	protein-protein	p
YAL047C	YDR356W	protein-protein	p
YAL047C	YFR028C	protein-protein	p
YAL047C	YGL212W	protein-protein	p
YAL047C	YGR218W	protein-protein	p
YAL047C	YHR172W	protein-protein	p
YAL047C	YIL149C	protein-protein	p
YAL047C	YJR134C	protein-protein	p
YAL047C	YKL179C	protein-protein	p
YAL047C	YLR045C	protein-protein	p
YAL047C	YLR212C	protein-protein	p
YAL047C	YLR309C	protein-protein	p
YAL047C	YMR001C	protein-protein	p
YAL047C	YMR047C	protein-protein	p
YAL047C	YMR077C	protein-protein	p
YAL047C	YNL084C	protein-protein	p
YAL047C	YNL126W	protein-protein	p
YAL047C	YNL188W	protein-protein	p
YAL047C	YOR373W	protein-protein	p
YAL047C	YPL055C	protein-protein	p
YAL048C	YGL219C	protein-protein	p
YAL048C	YLL006W	protein-protein	p
YAL048C	YOR284W	protein-protein	p
YAL051W	YNL325C	protein-protein	p
YAL051W	YOR363C	protein-protein	p
YAL053W	YGL203C	protein-protein	p
YAL053W	YKL028W	protein-protein	p
YAL053W	YMR307W	protein-protein	p
YAL055W	YDR265W	protein-protein	p
YAL055W	YGR133W	protein-protein	p
YAL056W	YER020W	protein-protein	p
YAL059W	YDR395W	protein-protein	p
YAL059W	YMR124W	protein-protein	p
YAL059W	YMR308C	protein-protein	p
YAL060W	YAL061W	protein-protein	p
YAL061W	YAL060W	protein-protein	p
YAL062W	YDR388W	protein-protein	p
YAR002C-A	YAL007C	protein-protein	p
YAR002C-A	YGL200C	protein-protein	p
YAR002C-A	YGR284C	protein-protein	p
YAR002C-A	YLR026C	protein-protein	p
YAR002C-A	YML012W	protein-protein	p
YAR002C-A	YMR214W	protein-protein	p
YAR002C-A	YOR016C	protein-protein	p
YAR002W	YAL005C	protein-protein	p
YAR002W	YBR010W	protein-protein	p
YAR002W	YBR160W	protein-protein	p
YAR002W	YCL061C	protein-protein	p
YAR002W	YDL229W	protein-protein	p
YAR002W	YDR381W	protein-protein	p
YAR002W	YER110C	protein-protein	p
YAR002W	YER165W	protein-protein	p
YAR002W	YGL086W	protein-protein	p
YAR002W	YLL039C	protein-protein	p
YAR002W	YLR166C	protein-protein	p
YAR002W	YLR293C	protein-protein	p
YAR002W	YLR335W	protein-protein	p
YAR002W	YLR347C	protein-protein	p
YAR002W	YML103C	protein-protein	p
YAR002W	YMR047C	protein-protein	p
YAR002W	YNL031C	protein-protein	p
YAR002W	YNL189W	protein-protein	p
YAR002W	YNL273W	protein-protein	p
YAR002W	YPL169C	protein-protein	p
YAR003W	YBR010W	protein-protein	p
YAR003W	YBR175W	protein-protein	p
YAR003W	YBR258C	protein-protein	p
YAR003W	YDR469W	protein-protein	p
YAR003W	YHR119W	protein-protein	p
YAR003W	YKL018W	protein-protein	p
YAR003W	YLR015W	protein-protein	p
YAR003W	YNL031C	protein-protein	p
YAR003W	YPL138C	protein-protein	p
YAR007C	YAL019W	protein-protein	p
YAR007C	YBL023C	protein-protein	p
YAR007C	YBR136W	protein-protein	p
YAR007C	YCR066W	protein-protein	p
YAR007C	YDR097C	protein-protein	p
YAR007C	YDR499W	protein-protein	p
YAR007C	YDR510W	protein-protein	p
YAR007C	YER095W	protein-protein	p
YAR007C	YGL150C	protein-protein	p
YAR007C	YGL207W	protein-protein	p
YAR007C	YHR164C	protein-protein	p
YAR007C	YIR002C	protein-protein	p
YAR007C	YJL173C	protein-protein	p
YAR007C	YLR103C	protein-protein	p
YAR007C	YML032C	protein-protein	p
YAR007C	YML069W	protein-protein	p
YAR007C	YMR106C	protein-protein	p
YAR007C	YMR190C	protein-protein	p
YAR007C	YNL031C	protein-protein	p
YAR007C	YNL312W	protein-protein	p
YAR008W	YLR105C	protein-protein	p
YAR008W	YMR059W	protein-protein	p
YAR008W	YPL083C	protein-protein	p
YAR014C	YDR122W	protein-protein	p
YAR014C	YDR195W	protein-protein	p
YAR014C	YER133W	protein-protein	p
YAR014C	YER155C	protein-protein	p
YAR014C	YJL187C	protein-protein	p
YAR014C	YLR096W	protein-protein	p
YAR014C	YMR071C	protein-protein	p
YAR014C	YNL333W	protein-protein	p
YAR015W	YPL240C	protein-protein	p
YAR018C	YIL144W	protein-protein	p
YAR019C	YFR028C	protein-protein	p
YAR019C	YGR092W	protein-protein	p
YAR019C	YML064C	protein-protein	p
YAR019C	YPL240C	protein-protein	p
YAR027W	YAR028W	protein-protein	p
YAR027W	YAR030C	protein-protein	p
YAR027W	YBR135W	protein-protein	p
YAR027W	YGR284C	protein-protein	p
YAR027W	YLL039C	protein-protein	p
YAR028W	YAR027W	protein-protein	p
YAR030C	YAR027W	protein-protein	p
YAR033W	YGL051W	protein-protein	p
YAR033W	YKL174C	protein-protein	p
YAR042W	YDL019C	protein-protein	p
YAR042W	YER120W	protein-protein	p
YAR042W	YHR195W	protein-protein	p
YAR064W	YBR109C	protein-protein	p
YAR066W	YMR047C	protein-protein	p
YAR068W	YFR024C-A	protein-protein	p
YAR071W	YFR055W	protein-protein	p
YBL002W	YBL003C	protein-protein	p
YBL002W	YBR009C	protein-protein	p
YBL002W	YBR089C-A	protein-protein	p
YBL002W	YBR111W-A	protein-protein	p
YBL002W	YBR245C	protein-protein	p
YBL002W	YCL066W	protein-protein	p
YBL002W	YDR225W	protein-protein	p
YBL002W	YDR334W	protein-protein	p
YBL002W	YER030W	protein-protein	p
YBL002W	YGL207W	protein-protein	p
YBL002W	YGR252W	protein-protein	p
YBL002W	YHL007C	protein-protein	p
YBL002W	YJL127C	protein-protein	p
YBL002W	YKR048C	protein-protein	p
YBL002W	YLR442C	protein-protein	p
YBL002W	YOL012C	protein-protein	p
YBL003C	YBL002W	protein-protein	p
