complex_id	oln_id
192	YFR050C
392	YAL010C
432	YMR294W
187	YLR052W
502	YGR009C
101	YMR061W
406	YLR450W
412	snR17b
101	YJR093C
364	YBL079W
171	YOR156C
229	YGR095C
279	YDL019C
177	YML102W
296	YHR146W
395	YPL004C
125	YLR147C
300	YBR082C
94	YBL038W
204	YOL077C
435	YIL034C
202	YJL085W
183	YDL097C
223	YDR311W
416	YML057W
423	YGR074W
425	YGR090W
182	YOR224C
138	YBR193C
307	YPR171W
438	YNL038W
415	snR84
123	YGL129C
237	YPR074C
415	snR31
410	YPR165W
459	YJL013C
116	YBR231C
229	YOR076C
167	YKL081W
484	YHL030W
34	YOR048C
262	YPR111W
95	YDR279W
467	YLR002C
174	YLR055C
64	YPL018W
325	YKL033W
271	YPR048W
30	YLR199C
94	YKR006C
154	YBR048W
189	YPL101W
493	YLR154C
113	YNL262W
203	YDR179C
423	snR19
101	YDR195W
390	YLR223C
442	YBR098W
55	YMR197C
147	YKL045W
457	YKL142W
171	YLR357W
239	YFR021W
409	YLR424W
157	YPL083C
305	YPL247C
515	YER125W
391	YPR145W
154	YBR189W
171	YIL126W
289	YKL088W
496	YBL014C
94	YOR150W
125	YPR082C
39	YBL003C
176	YOL062C
219	YFR031C-A
86	YOR270C
454	Q0085
123	YNR036C
427	YDR424C
146	YNL253W
123	YMR188C
171	YHL025W
177	YBR195C
182	YBR154C
219	YJR123W
204	YDR496C
170	YLR222C
306	YNL135C
346	YKR022C
478	YBR114W
94	YJL063C
59	YPL240C
401	YGL079W
94	YDR237W
426	YGL134W
123	YMR158W
166	YML112W
504	YNL088W
444	YEL061C
424	YGR003W
483	YOR056C
202	YBR102C
492	YDR076W
168	YNL107W
46	YOL018C
123	YDR337W
132	YCL039W
163	YGL187C
104	YJR043C
451	YGR181W
120	YLR417W
17	YLL010C
310	YGL195W
513	YLR105C
354	YCR004C
34	YGL246C
148	YOR253W
309	YOR323C
122	YOL145C
425	YOR039W
398	YBL046W
184	YPR189W
116	YDR334W
257	YER048W-A
44	YDR159W
138	YBL093C
78	YGR119C
454	Q0130
123	YPL118W
463	YMR167W
414	snR53
144	YMR089C
185	YLR215C
122	YBR279W
517	YPL019C
219	YDL082W
21	YER125W
498	YLR066W
161	YAL002W
515	YDR306C
323	YLR373C
421	YLR442C
311	YMR177W
191	YGL240W
439	YNL016W
501	YER127W
89	YFL008W
109	YNL097C
204	YOR272W
362	YDR101C
125	YGR091W
473	YDR082W
174	YDR167W
509	YNL230C
453	YDL181W
131	YPL010W
425	YCL031C
62	YOR054C
192	YOR362C
353	YFR015C
333	YDR375C
482	YGR254W
317	YBR011C
357	YER140W
415	snR37
67	YNL118C
173	YBR234C
395	YKL142W
224	YFL022C
63	YDR088C
219	YGL030W
94	YMR193W
202	YIL068C
38	YLR270W
137	YNL071W
426	YHR071W
94	YGR220C
101	YAL043C
119	YBR103W
168	YNL136W
149	YPR088C
202	YDR166C
424	YBR114W
242	YOR213C
339	YGR130C
361	YPL204W
