oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBL008W	YFR001W	transcription factor-target down	td
YBL008W	YLR002C	transcription factor-target down	td
YBL008W	YLR061W	transcription factor-target down	td
YBL008W	YNL030W	transcription factor-target down	td
YBL008W	YNL031C	transcription factor-target down	td
YBL008W	YOL144W	transcription factor-target down	td
YBL008W	YOL145C	transcription factor-target down	td
YBL008W	YPL018W	transcription factor-target down	td
YBL008W	YPL019C	transcription factor-target down	td
YBL008W	YPL249C-A	transcription factor-target down	td
YBL008W	YPL251W	transcription factor-target down	td
YBL008W	YPL253C	transcription factor-target down	td
YBL013W	YBR049C	transcription factor-target up	tu
YBL013W	YNL216W	transcription factor-target up	tu
YBL014C	YBR049C	transcription factor-target up	tu
YBL015W	YDR207C	transcription factor-target up	tu
YBL016W	YBR083W	transcription factor-target up	tu
YBL016W	YPL049C	transcription factor-target up	tu
YBL017C	YPL049C	transcription factor-target up	tu
YBL021C	YBR039W	transcription factor-target down	td
YBL021C	YCR028C	transcription factor-target down	td
YBL021C	YDR030C	transcription factor-target down	td
YBL021C	YDR031W	transcription factor-target down	td
YBL021C	YDR372C	transcription factor-target down	td
YBL021C	YDR373W	transcription factor-target down	td
YBL021C	YER174C	transcription factor-target down	td
YBL021C	YFR023W	transcription factor-target down	td
YBL021C	YGL187C	transcription factor-target down	td
YBL021C	YHR001W-A	transcription factor-target down	td
YBL021C	YHR051W	transcription factor-target down	td
YBL021C	YJL145W	transcription factor-target down	td
YBL021C	YJR078W	transcription factor-target down	td
YBL021C	YJR082C	transcription factor-target down	td
YBL021C	YLL027W	transcription factor-target down	td
YBL021C	YLR220W	transcription factor-target down	td
YBL021C	YML119W	transcription factor-target down	td
YBL021C	YML120C	transcription factor-target down	td
YBL021C	YMR258C	transcription factor-target down	td
YBL021C	YNL009W	transcription factor-target down	td
YBL021C	YPL207W	transcription factor-target down	td
YBL022C	YNL216W	transcription factor-target up	tu
YBL023C	YDL056W	transcription factor-target up	tu
YBL024W	YKL112W	transcription factor-target up	tu
YBL027W	YDR259C	transcription factor-target up	tu
YBL027W	YNL216W	transcription factor-target up	tu
YBL028C	YDL170W	transcription factor-target up	tu
YBL028C	YDR259C	transcription factor-target up	tu
YBL028C	YNL216W	transcription factor-target up	tu
YBL029W	YDR043C	transcription factor-target up	tu
YBL029W	YDR259C	transcription factor-target up	tu
YBL029W	YKL032C	transcription factor-target up	tu
YBL029W	YMR016C	transcription factor-target up	tu
YBL029W	YOR028C	transcription factor-target up	tu
YBL029W	YPL177C	transcription factor-target up	tu
YBL029W	YPR065W	transcription factor-target up	tu
YBL030C	YDR259C	transcription factor-target up	tu
YBL030C	YKL043W	transcription factor-target up	tu
YBL030C	YMR016C	transcription factor-target up	tu
YBL030C	YOR028C	transcription factor-target up	tu
YBL032W	YBR049C	transcription factor-target up	tu
