interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
959	ALY2	CDC28	YJL084C	YBR160W	4.63687
960	ASM4	CDC28	YDL088C	YBR160W	4.63687
961	BEM3	CDC28	YPL115C	YBR160W	4.63687
962	BFR1	CDC28	YOR198C	YBR160W	4.63687
963	BSP1	CDC28	YPR171W	YBR160W	4.63687
964	BUD3	CDC28	YCL014W	YBR160W	4.63687
965	CAF120	CDC28	YNL278W	YBR160W	4.63687
966	CSR2	CDC28	YPR030W	YBR160W	4.63687
967	DAL81	CDC28	YIR023W	YBR160W	4.63687
968	DBF4	CDC28	YDR052C	YBR160W	4.63687
969	EXO84	CDC28	YBR102C	YBR160W	4.63687
970	GAC1	CDC28	YOR178C	YBR160W	4.63687
971	GIP4	CDC28	YAL031C	YBR160W	4.63687
972	GRR1	CDC28	YJR090C	YBR160W	4.63687
973	GYP1	CDC28	YOR070C	YBR160W	4.63687
974	HOS4	CDC28	YIL112W	YBR160W	4.63687
975	KEL1	CDC28	YHR158C	YBR160W	4.63687
976	LRS4	CDC28	YDR439W	YBR160W	4.63687
977	MLP1	CDC28	YKR095W	YBR160W	4.63687
978	MMR1	CDC28	YLR190W	YBR160W	4.63687
979	MOB1	CDC28	YIL106W	YBR160W	4.63687
980	MSC3	CDC28	YLR219W	YBR160W	4.63687
981	MSH6	CDC28	YDR097C	YBR160W	4.63687
982	NBA1	CDC28	YOL070C	YBR160W	4.63687
983	NTH1	CDC28	YDR001C	YBR160W	4.63687
984	NUP1	CDC28	YOR098C	YBR160W	4.63687
985	NUR1	CDC28	YDL089W	YBR160W	4.63687
986	POG1	CDC28	YIL122W	YBR160W	4.63687
987	POL1	CDC28	YNL102W	YBR160W	4.63687
988	RAV1	CDC28	YJR033C	YBR160W	4.63687
989	REG1	PHO85	YDR028C	YPL031C	4.63687
990	RFC1	CDC28	YOR217W	YBR160W	4.63687
991	RGA1	CDC28	YOR127W	YBR160W	4.63687
992	RLF2	CDC28	YPR018W	YBR160W	4.63687
993	SAK1	CDC28	YER129W	YBR160W	4.63687
994	SKG6	CDC28	YHR149C	YBR160W	4.63687
995	SMC4	CDC28	YLR086W	YBR160W	4.63687
996	SPA2	CDC28	YLL021W	YBR160W	4.63687
997	SRC1	CDC28	YML034W	YBR160W	4.63687
998	SRL3	CDC28	YKR091W	YBR160W	4.63687
999	SSK1	CDC28	YLR006C	YBR160W	4.63687
1000	TAF4	CDC28	YMR005W	YBR160W	4.63687
1001	TIF4632	CDC28	YGL049C	YBR160W	4.63687
1002	VNX1	CDC28	YNL321W	YBR160W	4.63687
1003	YDR348C	CDC28	YDR348C	YBR160W	4.63687
1004	YHR159W	CDC28	YHR159W	YBR160W	4.63687
1005	YNL058C	CDC28	YNL058C	YBR160W	4.63687
1006	YPL014W	CDC28	YPL014W	YBR160W	4.63687
1007	BCK2	CDC28	YER167W	YBR160W	4.6297651
1008	TPK2	TPK3	YPL203W	YKL166C	4.62854
1009	TPK3	TPK2	YKL166C	YPL203W	4.62854
1010	KRE6	SLT2	YPR159W	YHR030C	4.60475
1011	CRH1	SLT2	YGR189C	YHR030C	4.601661
1012	DFG5	SLT2	YMR238W	YHR030C	4.601661
